¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.119853
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.95155
„ (335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.132298
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.32782
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.540174
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.777901
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.041415
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.371482
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.741087
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.157695
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.630774
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.17252
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.798917
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.492448
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.19425
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.1118
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.42633
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.734
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.955549
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.136617
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.332497
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546435
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.78474
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.053
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.384419
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.755624
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.174144
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.649535
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.194109
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.824018
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.552201
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.2561
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.18067
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.51775
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.02305
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.959627
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.14102
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.337264
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.552775
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791668
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.06456
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.397331
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.770137
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.19057
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.668273
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.215682
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.849112
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.590401
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.32347
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.25025
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.63154
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.36929
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.963783
 (335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.145507
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.342124
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.559195
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.798682
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.076092
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.410215
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.78462
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.206968
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.686986
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.237231
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.87419
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.619943
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.39317
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.32053
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.75407
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.01556
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.968015
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.150078
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.347075
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.565692
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805782
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.087593
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.423067
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.799072
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.223333
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.70567
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.258755
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.899246
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.649473
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.46401
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.39152
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.87762
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.35526
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.972325
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.154732
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352116
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.572265
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.812966
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.099059
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.435884
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.813487
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.239663
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.724316
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.280244
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.924275
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.678985
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.53669
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.46319
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.00214
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.53078
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.97671
 (335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.159469
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357814
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578917
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.820237
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.110488
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.448659
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.827863
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.255953
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.742922
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.301695
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.94927
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.708473
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.61069
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.53556
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.17124
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.7065
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.98117
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.164287
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.363989
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.585642
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.82759
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.121876
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.461396
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.842195
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.272196
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.761482
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.323101
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.974223
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.737925
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.64597
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.60861
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.38515
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.88226
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.985706
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.169187
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.370232
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.592443
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835024
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.133223
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.474085
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.856479
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.288391
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.779994
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.344458
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.999128
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.767333
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.68121
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.68249
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.74263
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.05792
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.990317
” (335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.174169
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376542
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.599318
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84254
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.144524
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.486728
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.870713
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.304533
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.798451
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.365758
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.023978
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.796693
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.71642
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.76434
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.85604
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.23332
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.995002
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.17923
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.382919
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.606266
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850139
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.155776
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.499318
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.884893
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.320617
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.816846
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.386996
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.048765
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.825994
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.75158
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.85001
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.96872
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.4083
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.99976
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.184371
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.38936
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.613284
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.857876
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.166975
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.511853
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.899012
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.336638
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.835177
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.408167
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.073485
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.855226
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.78667
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.91513
(335.42, 7.22, 312.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.08056
