¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.373006
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683344
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27472
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93785
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69494
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54528
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47344
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56569
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79639
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05907
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48942
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35432
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58372
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53863
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212514
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.466945
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742883
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.044846
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376632
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.742794
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.148881
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.153188
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683369
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28184
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95074
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70972
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55704
•(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49914
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59174
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81128
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06535
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48059
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31369
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49925
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.55977
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212674
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.468288
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.74435
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046456
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378406
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.744756
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.151063
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.153251
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.376671
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.332486
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.314252
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.298291
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.284676
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.273618
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.265243
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.259971
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.258308
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.261385
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.271734
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.300487
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212799
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469612
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.745796
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.048042
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.380151
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.746689
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.153214
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.330449
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.255844
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.225113
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.201701
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.180051
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.160137
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.141951
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.125492
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.110737
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.097699
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.086355
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.076699
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.068799
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.062597
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.05816
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.05551
¯(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.073438
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.150178
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212887
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470262
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747219
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.049603
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.381872
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.74859
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.394646
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.259822
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.200555
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.171315
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.145655
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.121699
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.099413
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.078778
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.05979
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.042389
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.026596
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.012377
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.99974
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.988646
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.979084
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.971087
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.964803
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.977288
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.024056
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.134441
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212938
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470317
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.748621
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.05114
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.383563
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.750464
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.349286
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.233852
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.178881
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.149027
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.121655
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.095981
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.07199
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.049647
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.028914
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.009784
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.992224
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.976231
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.961766
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.948824
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.937396
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.927457
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.919664
­(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.930487
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.970007
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.052968
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212954
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470334
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.749999
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052654
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.385229
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.752307
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.36006
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.240414
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.184413
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.153038
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.12394
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.096571
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.07092
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.046932
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.024578
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.003842
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.984701
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.967118
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.951084
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.936583
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.923601
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.912101
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.903242
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.913542
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.950975
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.02754
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.232475
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21293
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470309
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751306
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.054138
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.386864
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.754116
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.443592
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.282069
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.218602
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.184716
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.153421
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.123943
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.096258
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.070306
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.046051
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.023469
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.002525
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.9832
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.965439
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.949252
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.934618
¯(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.921505
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.911545
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.922094
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.960539
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.040199
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212871
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470245
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751235
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055601
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388474
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254223
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679651
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.385368
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.293567
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.253922
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.219037
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.186179
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.155283
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.126326
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.099207
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.073925
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.050404
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.028598
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.00848
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.990032
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.973202
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.957981
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.946463
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 6.958224
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.001762
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.098501
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212775
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47014
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751122
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057032
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.390052
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254198
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679626
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165031
(365.44, 9.83, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715669
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.414026
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.365156
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.320961
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.280553
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.243365
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.209064
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.17735
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.148039
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.121002
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.096109
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.073254
ü(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.052335
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.033308
(365.44, 9.83, 326.75) (378.37, 2.05, 342.70) (0.81, 2.16, 0.81) Human 7.018788
