¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(406.15, 14.26, 246.84) (386.15, 7.94, 260.70) (0.81, 2.16, 0.81) Human 10.93542
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 14.47754
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 15.37464
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49654
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02701
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.80156
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.91444
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.936636
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.171161
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426281
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.700628
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.000176
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.329935
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200275
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629555
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108118
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.644871
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24272
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90207
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65457
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49195
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4323
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50518
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 14.85881
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 14.81876
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.17071
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05325
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81526
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90774
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.942851
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17791
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.433636
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.709233
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009609
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824302
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212571
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643216
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123401
¿(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.662064
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25971
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92138
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.31644
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.18896
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.16433
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.14198
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53313
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 15.50705
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.85342
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.0801
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.83125
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.89873
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949091
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.184688
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.44102
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717896
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019105
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835477
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224976
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.656988
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.138795
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679399
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2769
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94092
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.31064
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.18487
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.16025
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.1379
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53029
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.26575
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 16.2632
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10459
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84953
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.89257
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.955353
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191489
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.448433
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.726611
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492833
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846772
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.237438
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.670868
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.154329
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696851
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29432
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96073
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.30719
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.18296
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.15834
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.136
À(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.5296
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.10602
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.06064
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11956
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87012
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.88923
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.961637
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198316
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.455874
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735382
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503128
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858099
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250031
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.684824
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.169944
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714435
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31192
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98077
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.3061
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.18323
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.15861
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.13627
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53106
(406.15, 14.26, 246.84) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 14.25684
(406.15, 14.26, 246.84) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 17.99257
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14319
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87936
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.88493
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967941
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205164
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463339
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189649
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513519
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869519
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262638
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69891
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.185674
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.73217
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32973
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00102
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.30736
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.18567
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.16105
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.1387
(406.15, 14.26, 246.84) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 11.53469
(406.15, 14.26, 246.84) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 14.96057
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65645
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16902
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.88474
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.88214
(406.15, 14.26, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974267
