¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
± (371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40073
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13516
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03051
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.970048
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.100022
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.239649
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.390007
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.552342
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.728101
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.918975
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.005239
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.237558
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.493658
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.777277
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.093024
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.438118
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.786334
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.172794
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.60871
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.102966
­ (371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.672781
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27331
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09408
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05987
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21274
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61244
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8972
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15937
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09435
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.97327
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.956372
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.085364
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.223904
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.373051
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.534033
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.708273
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.897434
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.103467
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.215064
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.468834
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.749745
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.062322
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.406879
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.752736
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.13524
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.566378
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.055758
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.618632
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21217
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02268
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97549
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11139
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48852
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91903
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18557
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16237
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46919
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.942911
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.070943
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.208415
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.356377
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.516034
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.688787
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.876272
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.080405
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.192949
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.444442
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.722704
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.032185
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.376307
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.719918
ª (371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.098573
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.525075
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.009725
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.565873
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15265
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9533
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89355
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01314
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36857
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94361
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2149
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20819
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.08768
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.929665
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.056753
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.193181
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.339981
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.498341
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.669639
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.855484
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.057763
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.172264
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.420475
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.696152
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.002605
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.345213
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.687864
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.06278
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.484781
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.964839
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.514476
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09477
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88589
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81402
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91793
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25248
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89801
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2159
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07624
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8747
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.916631
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.042796
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.178201
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.323862
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.480951
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.650826
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.835069
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.035533
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.254408
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.396932
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.670078
· (371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.973576
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.312699
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.656568
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.027845
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.445479
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.921086
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.464411
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.089664
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82041
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73685
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82565
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14014
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75829
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16225
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94978
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.67057
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.903812
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.029069
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.163472
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.308019
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.463865
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.632347
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.815023
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.013713
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.230573
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.374364
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.644483
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.945091
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.280814
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.626014
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.993757
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.407152
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.878442
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.415654
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.033379
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75681
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66198
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7362
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03143
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62332
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11199
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82861
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.35332
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.891203
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.015575
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.148994
