¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.460546
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.350525
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.334842
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.32064
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.307909
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.296654
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.287414
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.298264
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.3414
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.436045
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910141
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.202318
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.520883
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870519
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.648343
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.554853
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.511354
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.483088
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.456499
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.431529
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.408165
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.386391
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.36617
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.347496
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.330327
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.314677
 (428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.300498
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.287794
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.276566
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.267393
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.277634
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.317942
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.403169
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905301
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196198
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51415
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863163
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.660776
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.563646
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.519123
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.49083
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.464179
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.439176
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.41578
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.393963
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.373714
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.355002
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.337814
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.322121
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.307928
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.295213
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.283937
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.274733
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.285178
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.326479
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.414912
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899644
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189994
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507409
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855736
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.730561
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.607754
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.557263
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.528815
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.502014
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.47686
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.453324
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.431386
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.411007
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.392185
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.374881
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.359103
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.344818
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.332002
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.320671
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.311279
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.322982
ù(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.370045
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.480081
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893912
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183784
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500579
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848212
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231335
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.713086
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.639869
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.610076
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.582962
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.557495
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.533656
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.511448
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.490813
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.471748
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.454206
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.438213
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.423736
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.410759
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.399258
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.38947
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.405067
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.473185
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888152
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177486
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49371
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840636
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222984
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646259
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117384
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.852993
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.824181
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.797058
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.771811
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.748088
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.726029
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.705703
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.686893
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.669723
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.654126
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.64013
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.627717
(428.24, 15.02, 245.61) (448.28, 8.59, 258.72) (0.81, 2.16, 0.81) Human 7.616745
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88153
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171173
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486772
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.833033
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214544
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636899
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.106939
Ø(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633054
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22582
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.27301
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.28207
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38254
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03332
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3715
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73042
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27386
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873227
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164779
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479784
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.825353
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20608
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.627501
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09644
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62124
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.15546
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.12104
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.14421
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.17742
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.26452
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.36943
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90312
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59846
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864896
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155808
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472731
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81761
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.197504
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.618032
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.085842
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609358
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.00933
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.981913
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.01174
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.04371
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.14119
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.2473
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.44208
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36345
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856475
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14663
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463941
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809806
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188918
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608462
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075163
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597377
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.869237
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.855736
ç(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.884428
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.926876
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.02242
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.14035
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.3308
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54212
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84805
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137405
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453831
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.80122
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18023
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598835
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064423
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585362
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.734888
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.734406
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.762026
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.81492
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.908014
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.03707
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.22338
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.55413
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839554
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128157
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443713
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79003
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.171508
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589137
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053649
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.57323
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.606
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.617711
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.644315
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.707024
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.797782
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.937325
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.11969
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.46791
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831056
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118844
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.433493
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.778824
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159442
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57941
(428.24, 15.02, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042786
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.516457
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.482307
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.505446
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.53109
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.603024
(428.24, 15.02, 245.61) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.691562
