¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘ (395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.925544
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.175087
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.178077
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.149659
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.074604
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.783288
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018395
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274744
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555229
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863346
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.628523
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.597205
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.032605
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.911931
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.878284
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.763059
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.733744
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.705831
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.679292
† (395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.654106
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.630235
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.648762
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.119633
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.002565
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.891017
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.784648
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.118027
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.117952
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.118875
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.120796
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.123718
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.127643
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.132576
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.800562
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037309
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.295378
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577829
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888231
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.739553
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.707428
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045465
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.140453
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.124732
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.876586
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.846436
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.817722
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.790412
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.764476
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.739896
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.716635
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.247026
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.125265
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.00931
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.06707
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.065973
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.065864
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.066742
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.068609
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.071467
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.075318
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.080165
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.817768
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.056292
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316125
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600598
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9133
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.856254
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.823272
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.85017
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.0805
ˆ (395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.065025
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.995908
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.96487
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.935303
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.907173
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.880451
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.855104
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.831115
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.381293
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.254488
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.01915
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.017052
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.015933
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.015792
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.016628
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.018445
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.021241
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.02502
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.029786
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.835021
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075347
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.336985
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62348
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938519
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.286518
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.945138
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.912776
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.022896
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.007338
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.0055
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.133107
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.106407
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.528764
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.959888
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.957453
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.956372
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.522953
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.974157
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.971076
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.968966
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.967827
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.967657
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.968454
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.970221
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.972959
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.976671
(395.46, 14.59, 309.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.98136
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852321
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094527
(395.46, 14.59, 309.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357933
