¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
—(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84431
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37616
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.83584
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.895348
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119929
‰(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.325029
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.543447
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772628
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019868
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.298156
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.585135
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.839864
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.113933
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.443322
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.934802
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.494043
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08837
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77477
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43997
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23368
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54834
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6518
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55886
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19318
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.74132
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.88668
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.113887
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.318544
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536581
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765243
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0119
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287608
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.577662
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.831854
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.105324
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.426587
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.901254
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.481879
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05873
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77028
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42989
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18569
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4495
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56356
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56103
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01571
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65086
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.878044
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.108065
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.312296
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.530001
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.758164
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.004265
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277362
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.570766
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.82446
‹(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.09738
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.410465
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.868127
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.466598
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02959
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76487
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42064
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.17904
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35073
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46561
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61396
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84363
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.56444
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.869435
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.10246
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.306283
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.523705
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751393
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.996962
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.267421
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.56444
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817681
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090096
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.394955
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.835419
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.429235
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00095
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7318
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41223
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16945
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25201
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37064
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66629
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67673
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.48193
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.7695
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.86086
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.093246
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.300503
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517695
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.744927
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989988
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.257781
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.558688
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.811515
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.083472
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.380049
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.803125
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.39237
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.972796
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69932
¡(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40464
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.1608
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15333
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27851
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62755
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51489
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.33362
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57616
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852318
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.083969
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294959
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511968
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738768
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983347
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.248444
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.553505
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805962
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.077504
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.370311
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.771255
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.356001
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.945145
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66743
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39787
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84021
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05482
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18921
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46965
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36341
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.23829
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.42414
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84381
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.07473
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289648
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506525
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.732914
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977034
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.240989
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.545446
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.801015
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.072192
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364589
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.739801
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.320127
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.917986
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63612
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39194
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76872
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95644
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10263
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35444
§(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22468
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2499
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2784
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.87616
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.83534
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.065532
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.284571
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501366
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.727365
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.971051
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234519
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.535923
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.79668
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067533
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.359572
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.708763
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.284746
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.900901
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60538
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38682
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69724
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85827
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01877
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35309
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09029
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.26342
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.13867
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.71936
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826906
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.056375
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279728
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496488
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722121
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965396
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228406
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526728
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.792951
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.063527
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.355257
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.693922
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.249857
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.89264
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57522
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91005
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62575
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76037
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97814
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35398
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96015
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2707
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.00486
ª(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4834
(326.86, 7.07, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.95129
