¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ì (438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.731505
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.656888
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.633391
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.611516
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.591238
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.572546
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.555412
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.539821
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.525762
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.513214
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.502169
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.920124
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.911591
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.904616
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.902322
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.92345
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.946243
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.127388
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368707
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.631164
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917597
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167823
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484155
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999616
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484838
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976635
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43087
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.891976
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.034942
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.008413
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.983612
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.960511
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.939087
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.919317
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.90118
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.884661
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.869742
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.85641
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.844647
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.326452
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.317256
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.3097
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.4269
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.42794
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.43121
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.125163
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.366347
µ (438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.628592
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914731
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.176963
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527646
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018609
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476252
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.963799
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.428373
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.091668
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.059496
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.395503
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.233135
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.215984
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.2005
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.186666
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.28182
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.264256
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.248372
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.234152
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.221581
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.726273
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.71638
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.708203
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.50946
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.51051
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.5138
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.123033
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363964
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.626007
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911948
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18649
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57119
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.010877
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.467572
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.951042
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426231
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.910969
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.521914
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.823725
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.200732
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.183643
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.168213
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.154428
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.702773
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.684027
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.667048
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.65182
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.638326
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.971631
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 10.83728
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.89482
œ (438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.5955
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.59655
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.59987
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120866
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361641
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623445
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909167
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196354
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595368
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.003141
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458885
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.938422
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424467
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.909004
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33935
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76739
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.170165
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.153134
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.137757
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.14266
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.170712
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.150621
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.132395
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.116014
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.101461
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 10.03571
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 10.95625
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.95651
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.69866
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.69932
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 11.70226
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.118729
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359305
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620932
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906424
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206587
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.588365
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.99528
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.450068
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.925956
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.423069
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.907422
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32719
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75419
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.141405
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.124429
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.1091
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.157515
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 9.693834
