¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
” (340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.00576
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.26189
§ (340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.43004
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.97289
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.009808
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.621583
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.32465
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.16079
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.13531
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.29279
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.50082
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.19489
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.02368
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.637483
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.34305
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.16243
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.15915
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.32152
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.56414
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.37134
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.036565
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.652256
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.36015
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.18244
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.16343
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.34805
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35907
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.52273
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.04846
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.665895
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.37594
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.20092
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.17101
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.37234
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40191
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.64796
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.059351
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.678388
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.3904
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.21786
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.19109
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62473
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44188
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10894
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.069228
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.689717
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.40352
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.23322
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.20932
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37522
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47344
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28222
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.078086
ş(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.699876
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.41529
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.24701
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.22568
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39664
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11687
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34042
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.085912
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.70886
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.4257
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.2592
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.24014
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41573
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70972
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82607
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00989
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.092703
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.716656
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.43473
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.26978
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.2527
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43248
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49636
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04319
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51872
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10858
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.098452
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.723252
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.44238
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.27874
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.26334
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44686
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28745
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43885
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.05103
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19946
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.103154
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.728646
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.44863
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.28607
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.27204
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45885
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83502
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20381
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60527
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8073
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19371
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.106804
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.73284
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45349
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.29176
Ì(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.2788
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46845
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8271
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97416
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2697
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.77038
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33471
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.16911
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.109398
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.735818
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45694
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.29581
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.28361
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.47563
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81683
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75847
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22656
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73233
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25884
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33395
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.33976
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.110937
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.737583
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45899
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.29821
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.28646
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48038
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80424
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11411
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18141
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6932
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18313
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.73724
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.23064
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.111418
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.738136
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45962
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.29896
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.28735
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48173
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78933
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.06202
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13533
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65298
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10766
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63539
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.12307
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.110837
