¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.321876
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27776
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27305
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2723
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27549
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28808
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462595
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701368
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.789624
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.752626
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.717331
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.683699
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.651694
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.621277
÷(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.592417
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.565082
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.539242
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.514869
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.49194
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.470426
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.45031
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.431567
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.004961
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.804587
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15847
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91857
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68338
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.18181
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.16924
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.16063
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.15594
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.15518
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.15836
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.17087
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462233
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700991
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.928851
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.890963
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.854815
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.820369
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.787583
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.756421
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.726851
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.698838
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.672351
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.647367
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.623854
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.60179
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.581151
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.561914
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.030167
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23581
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65727
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74157
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47457
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11412
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.0573
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04873
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04406
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.0433
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04645
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.05888
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461949
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700663
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959113
ı(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.036511
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.999463
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.964152
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.930542
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.898591
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.868268
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.839538
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.812368
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.786731
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.762601
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.739951
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.718757
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.698999
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.055648
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16814
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41487
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25774
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27346
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89699
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95047
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.94193
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.93728
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.93652
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.93964
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95201
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461767
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700456
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958875
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.189804
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.151799
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.115572
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.081088
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.048299
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.017177
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.987685
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.95979
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.933463
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.908677
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.885405
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.863622
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.843307
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.081407
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10346
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34784
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63878
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03105
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68804
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34775
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84011
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.83548
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.83471
ø(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.83782
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.85011
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461637
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700326
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958745
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239377
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.312401
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.275205
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.239788
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.206113
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.174142
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.143839
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.115175
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.088113
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.062629
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.038696
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.016287
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.995379
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.107442
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04167
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28381
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53735
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24153
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51936
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13622
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.74315
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.73854
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.73777
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.74086
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.75308
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461603
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700286
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958712
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239322
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.481899
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.443668
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.407265
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.372644
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.339772
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.308608
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.279121
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.251278
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.225052
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.200414
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.177338
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.155799
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.135777
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98278
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22276
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47406
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73725
Ö(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35885
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96345
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61802
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.64635
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.64559
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.64865
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.66082
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461637
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700356
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95877
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239399
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563703
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.621675
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.584218
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.548592
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.514757
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.482675
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.452314
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.423639
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.396622
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.37123
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.34744
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.325228
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.304569
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92664
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16463
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41374
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67468
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23276
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79699
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43848
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.55882
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.55805
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.5611
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.5732
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460804
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7005
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958914
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239532
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557176
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.889344
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203595
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.545646
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.919304
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.383436
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847947
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27353
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79536
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41625
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92207
