¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
› (406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40029
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.38658
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.46414
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.47025
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57068
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82652
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.19012
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.7383
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.5057
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.54851
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.93403
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.901021
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.061106
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.233515
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.419607
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.620555
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.838162
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.074598
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.334171
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.618267
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.930457
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.276847
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.663613
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.095465
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.58617
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.145082
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.792708
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.54934
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.4676
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.55845
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.55524
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67786
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97371
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.31899
Š (406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.81343
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.59574
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.65401
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.910812
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.071599
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.244668
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.431623
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.633536
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.852227
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.089925
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.3509
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.636597
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.950624
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.299771
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.689115
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.124003
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.620507
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.184134
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.843071
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.61895
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.54877
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64263
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6427
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78838
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12574
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.3771
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.89224
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.69024
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.76496
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.92079
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.082296
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.256037
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.443873
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.646773
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.866572
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.105555
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.367963
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.655296
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.971207
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.323155
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.715138
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.154583
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.655547
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.227402
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.894471
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.6904
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.63093
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71978
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.7593
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90747
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.20493
Œ (406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.42978
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.97476
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.78929
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.88151
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.930958
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.093198
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.267624
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.45636
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.660267
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.881198
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.121489
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.385363
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.67437
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.992205
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.347002
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.74169
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.186225
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.691291
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.272917
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.951597
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.76247
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.71493
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79908
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89955
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.11947
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.28727
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49508
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.0611
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.8923
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.00379
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.941316
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.104304
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.279476
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.469082
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.674019
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.896105
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.137727
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.403097
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.693817
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.013855
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.371316
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.768766
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.218481
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.727751
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.319332
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.01514
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83479
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.80081
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88058
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00309
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.26091
Š (406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.40213
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.59106
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.15131
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.99678
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.13099
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.951861
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.115614
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.291636
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.482041
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.688029
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.911298
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.154269
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.42117
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.71364
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.03622
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.396101
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.796381
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.251362
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.76804
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.366652
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.07973
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90863
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.88861
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96431
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1097
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40682
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.53041
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.69064
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.24549
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.10607
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.26221
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.962596
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.127129
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.304016
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.495235
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.702297
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.926773
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.171119
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.439583
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.733841
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.059005
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.421357
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.825903
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.284866
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.8102
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.423024
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.14395
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.98404
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.97838
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05034
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21946
‹ (406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.55733
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.66287
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79391
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.34371
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.22027
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.39952
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.973521
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.138848
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.316618
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.508667
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.716825
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.942533
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.188276
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.458336
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.754421
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.08221
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.447088
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.856274
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.319003
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.853144
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.481047
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.20945
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.06102
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.07014
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.13872
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.33245
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71262
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.79967
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.90095
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.44607
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.3395
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.54308
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.984634
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.150774
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.329444
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.522337
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.731612
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.958579
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.20574
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.477433
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.775385
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.105838
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.4733
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.887198
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.356339
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.899551
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.538815
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.27625
(406.37, 7.18, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.13962
