¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.10767
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.068774
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.064246
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.061099
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.05933
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.058937
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.059921
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.062282
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.066024
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.071147
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.07766
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.085567
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.094877
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.105598
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.727176
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.524737
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.434114
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7693
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.93427
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3333
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92885
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.80201
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.77392
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73103
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.08908
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.051463
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.042734
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.035397
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.029443
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.024868
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.021667
ó (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.019837
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.019376
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.020284
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.022561
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.026208
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.031234
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.037637
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.045428
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.054614
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.065201
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.646292
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.456452
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79323
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.9383
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.90266
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.86954
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.80009
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.77201
(416.59, 13.01, 329.08) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 15.58306
(416.59, 13.01, 329.08) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 15.56415
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.013979
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.005227
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.99786
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.991871
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.987254
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.984002
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.982114
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.981588
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.982423
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.98462
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.988181
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.99311
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.999413
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.007092
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.016159
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.02662
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.793758
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.478443
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81643
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 12.02777
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50678
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.83094
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.80041
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.77232
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.78529
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 11.76194
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.978204
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.969432
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.96204
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.956016
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.951358
½ (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.94806
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.946117
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.945529
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.946296
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.948418
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.951897
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.956736
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.96294
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.970515
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.979469
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.989811
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.500075
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83889
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53545
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58848
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9935
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53717
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22016
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21593
(416.59, 13.01, 329.08) (432.84, 8.07, 296.73) (0.81, 2.16, 0.81) Human 21.92173
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.944103
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.935313
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.927895
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.921841
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.917143
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.9138
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.911807
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.911161
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.911864
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.913914
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.917314
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.922068
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.92818
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.935657
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.944504
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.954732
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630985
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86064
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56781
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71858
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06259
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67357
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35065
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37548
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.46513
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.911636
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.90283
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.895388
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889303
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.884571
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.881186
º (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.879144
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.878445
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.879086
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.881068
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.884395
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889068
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.895093
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.902476
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.911223
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.921344
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696941
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88161
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59365
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87599
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13124
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81006
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47983
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.53378
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.87484
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.88077
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.871948
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.864484
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.858372
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.853607
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.850182
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.848095
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.847343
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.847928
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.849848
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.853104
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.857702
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.863645
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.870938
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.879591
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889609
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762217
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90183
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61643
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0298
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19946
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94656
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60769
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.69071
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.24786
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.85147
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.842634
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.83515
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.829014
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.824216
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.820755
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.818625
Ã (416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.817825
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.818356
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.820215
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.823406
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.827932
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.833797
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.841008
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.849571
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.859492
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82688
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92125
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63837
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17967
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2672
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08297
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73412
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84609
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.833917
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.823709
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.814858
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.807356
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.801196
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.796369
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.792874
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.790703
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.789858
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.790339
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.792141
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.79527
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.799729
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.805522
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.812654
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.821129
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.830962
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890774
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93984
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65941
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32516
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33444
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13904
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85897
(416.59, 13.01, 329.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9977
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.807669
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.797455
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.788591
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.781073
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.774889
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.770036
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.766508
(416.59, 13.01, 329.08) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.7643
