¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.47608
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05725
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14727
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.56823
­(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.58036
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.59518
(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.61268
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.14442
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.65858
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.62688
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.59987
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.57751
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.55978
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.54666
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.53815
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.48443
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626124
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913913
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229308
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.5764
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958302
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384969
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.860913
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.391875
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.98901
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31815
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12355
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05509
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14473
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 13.91427
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 13.88185
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 13.93438
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.02397
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.11749
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.532
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.50048
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.47362
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.45139
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.43376
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.42072
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.41226
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.35884
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626361
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914173
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229594
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.576126
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958388
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.385061
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.860604
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.391528
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.98755
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64899
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12148
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05272
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1419
ª(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.24419
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.33319
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.42614
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.52315
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.62434
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.4113
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.37996
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.35324
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.33113
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.3136
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.30064
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.29223
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.2391
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626507
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914331
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229766
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.575721
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958333
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.385002
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.86014
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.391004
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.985953
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64717
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11927
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05012
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13886
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42909
(432.58, 14.49, 325.66) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 14.85564
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.69494
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.66445
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.63712
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.29636
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.26518
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.2386
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.21661
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.19917
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.18629
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.17793
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.12506
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626557
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914386
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229828
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.575209
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958143
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384789
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.859516
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.390301
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.984221
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64519
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40226
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0473
¤(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13555
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42512
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.63366
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.65571
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.74401
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.83642
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 15.93305
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.60633
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.58916
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.57662
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.56867
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.56534
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.56659
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 23.57244
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626514
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914338
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229775
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.574588
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957809
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384418
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.858734
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.389419
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.982354
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64306
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39982
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27499
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13198
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42084
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88016
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 16.14684
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 16.24174
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 16.34097
(432.58, 14.49, 325.66) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 16.44464
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.65284
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.63529
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.62257
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.61465
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.61154
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.61323
(432.58, 14.49, 325.66) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 24.61971
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626375
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914185
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229608
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573862
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957337
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.38389
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.857796
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.388362
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.98035
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64078
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39719
ò(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27194
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29493
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41628
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87062
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55488
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.31397
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07606
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626142
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913932
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229329
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573026
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.956725
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.383183
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.856701
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.387126
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.978212
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63834
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39438
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26868
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2911
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40845
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86092
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53909
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.2438
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.21395
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.18754
(432.58, 14.49, 325.66) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 19.70087
(432.58, 14.49, 325.66) (440.94, 7.42, 287.91) (1.28, 0.85, 1.29) Fence 22.73983
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625815
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913573
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228935
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.57226
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.955976
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.382196
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.855449
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.385715
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.975938
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63575
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3914
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26521
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28702
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.49764
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85109
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52336
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.63929
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.80489
(432.58, 14.49, 325.66) (439.84, 7.42, 292.48) (0.48, 0.85, 1.34) Fence 17.97716
(432.58, 14.49, 325.66) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 20.53529
(432.58, 14.49, 325.66) (440.94, 7.42, 287.91) (1.28, 0.85, 1.29) Fence 22.19296
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625395
(432.58, 14.49, 325.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913114
