¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­ (417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.832909
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.931321
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.975093
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.020799
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.068494
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.118239
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259842
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.928215
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91976
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6449
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03083
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30623
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02797
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.69615
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77607
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.6899
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.585222
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.462655
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.345395
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.23315
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.125652
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.022654
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.968282
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.005931
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.045372
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.086646
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.129806
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.174901
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.221989
í(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.271123
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.322372
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.322075
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01877
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94216
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67022
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21742
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37715
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17035
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.83474
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9462
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.05482
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.501438
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.386492
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.276415
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.214262
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.255053
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.297739
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.342369
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.388998
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.437683
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.488483
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.541462
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.596689
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.383934
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13449
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96387
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74899
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40186
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4478
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29355
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.9725
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.11551
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.43598
(417.60, 13.24, 328.03) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.479654
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445341
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25066
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98491
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89553
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56558
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51818
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25274
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10927
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.28394
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.83869
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.506226
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36727
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00521
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04258
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62701
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58817
Â(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21258
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24494
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.45127
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6006
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5048
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02479
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18994
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68808
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65786
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17311
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.37349
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61743
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698321
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66296
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08973
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33751
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74875
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7271
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13437
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48813
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76863
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.795946
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82176
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21037
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48516
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80905
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79596
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09634
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60129
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.20351
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.33751
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.47732
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.893419
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9811
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33071
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63277
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82117
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86434
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05896
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71282
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.64941
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.77434
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.90478
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.990656
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1407
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45065
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78016
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6662
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93223
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02753
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28317
à(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.50854
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.51207
(417.60, 13.24, 328.03) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.5194
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08758
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30038
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57004
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92723
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56915
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38212
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02944
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.54933
(417.60, 13.24, 328.03) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 22.73479
(417.60, 13.24, 328.03) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 22.79738
(417.60, 13.24, 328.03) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 22.86477
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18408
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39447
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68877
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91783
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52925
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26822
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03226
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.14859
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.23336
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.32251
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.41614
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28005
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43493
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80669
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88162
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48966
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06766
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.70842
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.76772
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.84764
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.93181
(417.60, 13.24, 328.03) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 23.88282
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37538
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4737
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8808
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8458
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45042
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84846
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.85029
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.76584
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.68562
(417.60, 13.24, 328.03) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.60953
(417.60, 13.24, 328.03) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.29087
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51072
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94206
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81024
Ï(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41155
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93669
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04605
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02459
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.72919
(417.60, 13.24, 328.03) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.65578
(417.60, 13.24, 328.03) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.71761
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56374
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54594
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99797
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77498
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37302
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.746
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05242
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12749
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83543
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67744
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57929
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04835
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7401
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33485
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5582
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.11439
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22821
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93814
(417.60, 13.24, 328.03) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 6.597348
(417.60, 13.24, 328.03) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 7.015001
(417.60, 13.24, 328.03) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 7.550874
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29602
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29702
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37325
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17844
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32666
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.04207
(417.60, 13.24, 328.03) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 6.61064
(417.60, 13.24, 328.03) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 7.005506
(417.60, 13.24, 328.03) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 7.452085
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19409
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25957
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18825
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24309
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4227
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.15383
(417.60, 13.24, 328.03) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.340727
(417.60, 13.24, 328.03) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.315057
(417.60, 13.24, 328.03) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.291157
(417.60, 13.24, 328.03) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.269001
(417.60, 13.24, 328.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36317
