¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í (373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.55774
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.52446
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.996143
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.536367
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.156792
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.880746
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.73166
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.7467
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06013
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5383
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36752
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6183
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38546
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.296975
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.42481
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.561402
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.707642
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.864551
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.033292
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.215217
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.411879
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.624144
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.861473
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.126554
