¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ (379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.70046
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1117
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.08279
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.05957
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.03897
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.02097
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.00556
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.99271
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.98242
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.28865
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.938358
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.159044
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398035
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657648
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940659
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250276
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58361
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945412
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.345181
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78912
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285394
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867184
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52889
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28302
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11716
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08725
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.16072
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.13735
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.11663
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.09851
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.083
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.07006
(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.0597
Â(379.64, 14.23, 268.00) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 13.2281
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.554749
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15385
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392415
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651558
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934021
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242984
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.575972
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335869
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778778
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273249
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.853271
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51302
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2659
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0974
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06413
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27147
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.844
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.82243
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.80382
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.78813
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.77535
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.76546
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.75847
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.550854
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.757534
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386907
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645569
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.927452
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235823
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568561
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928827
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.326813
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768663
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.261933
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.83964
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49746
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24922
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07811
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04161
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24228
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.08139
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.05949
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.04058
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.02464
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.01166
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.00162
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 14.99452
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.547028
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753397
Å(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381505
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63968
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921037
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228758
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561255
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920802
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317923
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758799
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.250899
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.826221
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48215
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23296
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05931
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01965
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21369
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.32955
(379.64, 14.23, 268.00) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 15.30729
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 14.83371
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 14.79087
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 14.75115
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 14.71449
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 14.68088
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.543269
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749439
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971202
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633855
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914712
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221871
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554167
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912975
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.309276
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749174
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.240142
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813061
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46714
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21697
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04097
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99826
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.56437
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.53934
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.51703
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.49742
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.48049
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.46623
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.45462
(379.64, 14.23, 268.00) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 13.44564
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.539583
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.745503
(379.64, 14.23, 268.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966776
