¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.087839
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74647
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.132936
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.561807
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040256
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572029
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05492
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59525
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21147
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72566
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32967
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.1919
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.04131
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.97062
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.93253
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.92824
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.97046
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.03685
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.1741
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.40607
(442.89, 14.85, 257.79) (417.94, 9.03, 258.16) (2.56, 2.61, 2.56) Tools 14.48835
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63851
Ö(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.832514
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.041595
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.267469
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512196
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77819
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068308
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.385844
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73483
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120091
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547506
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.024273
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.556689
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03793
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57243
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1551
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6593
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21623
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.28518
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.12542
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.05382
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.01073
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.00644
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.04551
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.10893
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.24784
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.47714
(442.89, 14.85, 257.79) (417.94, 9.03, 258.16) (2.56, 2.61, 2.56) Tools 14.90084
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.632681
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.826266
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.03482
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260149
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504273
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769596
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05888
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.37554
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723454
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.107557
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.533569
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008709
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541821
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02175
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55442
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09632
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59499
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14303
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.38253
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.22034
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.14064
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.09233
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.08804
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.12386
Ì(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.18527
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.32489
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.55154
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37298
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.626578
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.820153
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.028232
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253012
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496542
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761194
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049722
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365498
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.71245
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095335
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.519999
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993521
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524755
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00634
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53732
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03933
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53268
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07462
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.4841
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.31939
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.23117
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.17744
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.17315
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.2056
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.26787
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.40536
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.62936
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09858
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.619643
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.814173
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021807
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246082
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489016
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040788
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3557
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701665
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0803
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506766
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978764
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508142
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.99173
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52105
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01294
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47231
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00838
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.59282
Ø(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.42266
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.32555
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.26616
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.26186
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.29084
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.35401
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.48934
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.71071
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83588
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.612876
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.808402
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.015563
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.239347
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481703
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74504
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032084
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346194
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691178
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.064268
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492818
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.964388
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492012
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977901
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50555
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00155
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41393
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94427
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.71989
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.53032
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.42389
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.3586
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.35431
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.37968
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.44379
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63664
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08821
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58427
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.606214
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.80152
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009467
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232764
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.474566
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737279
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023664
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336922
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681015
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048635
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.473177
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.950438
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476297
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964849
ã(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48793
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99155
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37429
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88227
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62313
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19939
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60141
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93577
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28795
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64925
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67735
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4544
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88093
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34971
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.179512
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.511923
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87824
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280223
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720348
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140137
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.580315
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06708
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.86632
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.57201
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.42776
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.32573
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.27748
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.24767
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.25554
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.28092
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.34641
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.44547
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.59074
(442.60, 14.92, 257.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.87532
(442.60, 14.92, 257.22) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 14.37628
(442.60, 14.92, 257.22) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 14.21763
(442.60, 14.92, 257.22) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.00079
(442.60, 14.92, 257.22) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 14.2185
(442.60, 14.92, 257.22) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 14.80134
(442.60, 14.92, 257.22) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 16.28118
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178327
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.510629
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876803
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.282226
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72504
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137767
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577687
(442.60, 14.92, 257.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06419
