¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.18332
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.20075
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.87432
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13249
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.92212
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.20298
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.18046
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.16269
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.14965
Ô(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.14133
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13771
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13881
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.1446
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153387
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418867
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.68814
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.97232
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272996
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.628585
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.009178
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.44299
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.917141
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.468724
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08773
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83665
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71995
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68975
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.81587
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17651
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9011
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06927
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.84011
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.19069
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.16818
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15042
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13738
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12906
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12545
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12654
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13234
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.148643
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415022
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683946
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.970081
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269245
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.62444
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.006303
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.438832
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.914749
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.464803
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08414
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8295
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70417
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66956
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.79429
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.98404
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.84156
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.81271
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.78795
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.76604
Ö(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.74706
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.73084
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.71752
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.70693
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.74153
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.1179
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.119
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12479
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143817
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410818
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.679756
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.967931
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.26583
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.620293
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.00349
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.434668
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.912436
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.460865
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08052
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82234
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68845
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64946
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.7728
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.85361
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.75704
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.73219
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.71073
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.69203
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.6761
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.66296
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.65255
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.64488
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.67365
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.84254
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.11615
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12195
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.138912
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405452
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.675571
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965868
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.263579
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.616142
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.000738
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.430495
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.910206
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.45691
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07689
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81517
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67279
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62945
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.7514
ï(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.88164
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.77739
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.75449
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.73549
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.71925
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.7058
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.69511
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.6872
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.68203
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.71478
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.93894
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.11801
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.1238
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133928
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399997
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671392
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.963897
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.261425
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611989
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.99805
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.426316
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.908056
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.452938
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07323
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.808
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65719
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60954
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59465
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9981
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.93223
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.90936
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.89593
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.88571
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.8787
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.87481
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.87424
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.87725
(349.58, 6.99, 363.59) (336.23, 1.22, 387.30) (0.81, 2.16, 0.81) Human 13.98508
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12348
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.12457
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13037
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.128866
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39446
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667219
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959512
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.259367
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.607838
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.995425
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.42213
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.905988
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.448952
ñ(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06955
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80082
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64165
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58972
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56192
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9587
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65569
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.76084
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.44087
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.20001
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.17749
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15972
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.14668
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13836
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13475
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.13584
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.14164
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123728
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388839
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663054
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.954954
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.257407
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603685
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992862
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.417941
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.904001
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.444953
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06585
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79365
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62618
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36493
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52943
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91962
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60776
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.70071
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.36328
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.21605
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.19351
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.17573
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.16268
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15435
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15074
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15183
(349.58, 6.99, 363.59) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 24.15763
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119651
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.383138
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658895
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.950404
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255544
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599535
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.990132
€(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.413745
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.901088
(349.58, 6.99, 363.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.44094
