¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã (392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46068
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828829
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.22826
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672412
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.169118
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.773859
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44447
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20621
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09034
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12869
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29301
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.85232
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.51173
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.48725
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.46548
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.71026
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.71859
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.07781
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.38198
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.09029
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.0845
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.08146
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.08117
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.08363
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.34598
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563875
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837304
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136012
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463508
½ (392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824111
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.223007
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.666569
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162613
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.763945
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42818
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18738
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06833
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10269
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25423
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.7933
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.38366
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.3594
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.33783
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.70203
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.68605
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.36869
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.50226
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.18268
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.17686
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.17381
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.17352
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.176
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.44008
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.560562
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833736
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132069
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459194
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81934
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217725
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660663
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.155978
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752835
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41172
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16836
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04618
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07985
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21555
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.08693
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.26055
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.23651
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.21513
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.99383
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.97754
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.67476
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.67858
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.27909
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.27324
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.27018
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.2699
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.2724
£ (392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.55964
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.557228
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830082
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128097
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454817
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814526
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212375
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654705
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149251
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738305
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39509
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14918
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0293
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05051
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1769
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.39619
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.14222
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.11839
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.0972
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.30119
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.28458
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.99714
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.19781
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.37965
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.37376
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.37069
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.37041
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.37294
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.5033
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553831
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82639
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124079
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4504
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809642
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206952
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.648669
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.142492
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.723657
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37832
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13813
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01523
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02133
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1383
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00188
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.02851
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.00488
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.02184
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.62527
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.60831
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.08144
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.80527
ª (392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.48447
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.47856
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.47546
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.4752
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.47775
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.60907
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550433
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822676
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119987
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445911
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804665
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.201472
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.642546
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.135624
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.708912
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36739
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13043
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00095
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99228
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.01904
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 12.99025
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 12.91924
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 12.8958
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.01839
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.96735
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.95004
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.07485
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.74961
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.5937
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.58775
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.58464
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.58438
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.58696
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.77576
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546958
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818926
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115874
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44137
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799677
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.195945
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636377
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.128722
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698048
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36298
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12012
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9864
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96333
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0613
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83167
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.02317
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.00045
µ (392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.01483
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.32888
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.31119
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.29652
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.61347
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.70748
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.70149
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.69837
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.69812
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.70073
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.55075
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543472
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815089
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111699
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.436804
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794642
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.190341
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.630139
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.122993
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.693983
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35836
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10973
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97163
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93462
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02295
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74986
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.78446
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.75698
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.73265
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.71145
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.69336
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 15.67837
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.66614
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.82596
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.81993
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.81679
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.81655
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.67791
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 16.68413
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.539962
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811244
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107463
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432176
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.789543
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184686
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624633
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120621
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.689774
