¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.260485
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.376381
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.36528
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.355288
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.346404
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.338622
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.33193
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.326329
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.321803
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.320507
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.340123
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.393236
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.30616
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.452141
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.636276
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.834455
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048301
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.279715
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.775533
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.671948
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.646035
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.626018
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.607355
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.590036
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.57409
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.559453
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.546171
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.534187
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.52357
®(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.514312
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.506414
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.499925
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.494848
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.491307
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.489384
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.489127
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.490833
(353.80, 7.03, 355.89) (345.45, 1.07, 372.91) (0.81, 2.16, 0.81) Human 5.497496
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.83058
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.3982
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.39265
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.44817
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.632014
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.829875
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04337
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274365
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521494
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787321
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077188
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394446
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74357
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.132143
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563533
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.925173
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273888
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634174
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02563
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45236
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94177
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.1473
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.124
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.10295
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.18029
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.41409
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.40079
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.38993
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.76095
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.4888
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.48316
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.444366
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627893
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.825485
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038599
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.269183
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.517374
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782886
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072335
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389147
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737191
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121355
©(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550257
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.934799
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.266926
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626661
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01748
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44349
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90957
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.13495
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.11168
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.09066
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.16622
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.53379
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.5203
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.50926
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.69453
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.58353
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.5778
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.440713
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.62396
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.821235
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.034019
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.264254
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513525
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.778687
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067792
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384121
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731691
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.115246
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540633
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.929235
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.260924
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.620166
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01045
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43584
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90124
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.1248
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.10156
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.08057
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.15424
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.65833
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.64462
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.6334
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.63125
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.6825
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.67666
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.437209
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.620212
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.81717
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.029634
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.2595
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.508911
«(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774722
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063485
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379433
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726527
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109562
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534304
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870148
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224073
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609414
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00457
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42942
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89422
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.11685
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.09363
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.07266
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.14436
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.78789
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.77396
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.76255
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.75364
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.78583
(353.80, 7.03, 355.89) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 15.77988
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.433812
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.616607
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813277
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025433
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.25496
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503973
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771052
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059465
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375039
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721714
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104233
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.498986
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.813906
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.159723
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.53943
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.953969
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40826
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88859
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.11108
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.08788
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.06693
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.13656
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.92267
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.90851
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.8969
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 12.88782
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.430576
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.613127
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.809544
«(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021416
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250633
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499256
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.767653
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055722
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.370954
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717203
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099283
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.448289
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759234
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.097178
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.471435
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.879791
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32707
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81899
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.1075
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.08431
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.06337
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.13084
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.0629
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.04851
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.03669
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.02742
(353.80, 7.03, 355.89) (354.46, 0.82, 382.94) (0.81, 1.64, 0.92) Tools 19.06369
(353.80, 7.03, 355.89) (354.46, 0.82, 382.94) (0.81, 1.64, 0.92) Tools 19.17364
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.427512
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.609849
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.806011
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.017609
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246457
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494723
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764512
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052305
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367182
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.713049
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.094688
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.398959
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706094
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.038351
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.405334
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.807785
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24826
(353.80, 7.03, 355.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73239
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.1061
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.08834
(353.80, 7.03, 355.89) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.70012
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.22608
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.20882
(353.80, 7.03, 355.89) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.19418
