¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.801635
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.747977
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.731309
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.715847
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.701577
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.688485
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.676556
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.665781
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.656145
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.647642
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.640264
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.634
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.628847
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.624799
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.621852
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.620003
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.61925
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.619593
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.615252
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.803662
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.006198
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.97746
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.950149
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.924238
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.899696
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.876496
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.854617
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.834032
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.814721
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.796664
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.779842
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.764237
ß(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.749836
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.736621
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.724581
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.713702
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.703975
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.695389
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.687935
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.681608
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.6764
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.672307
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.669323
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.667448
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.666677
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.667012
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.610022
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.798044
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.000305
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.029818
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.002255
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.976103
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.951333
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.927917
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.905833
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.885056
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.865564
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.847336
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.830355
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.814602
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.800062
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.786719
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.774562
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.763576
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.753752
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.74508
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.737549
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.731155
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.725891
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.72175
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.718728
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.716825
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.716036
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.716362
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.60498
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.792629
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.994465
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.084303
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.056478
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.030074
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.005067
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.981427
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.959129
İ(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.938151
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.91847
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.900065
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.882918
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.86701
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.852326
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.838851
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.826571
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.815474
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.805549
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.792352
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.778537
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.765908
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.754454
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.773196
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.770136
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.768203
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.767395
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.767712
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.600103
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.787378
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.988828
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.140998
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.112898
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.086235
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.060979
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 6.037105
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.014586
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.993399
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.97352
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.95493
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.925186
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.90915
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.894347
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.880762
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.86838
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.857191
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.847181
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.838342
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.830664
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.824141
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.803359
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.826725
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.823623
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.821659
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.820831
