¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71204
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.333448
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.827019
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384639
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01957
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74891
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59517
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5888
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77158
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79616
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77562
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.75762
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74216
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.72921
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71877
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71082
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.70535
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.031358
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.197158
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.375391
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.567395
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.77479
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.999435
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24356
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509691
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800921
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120863
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.473955
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865471
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302004
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791632
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.344601
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973862
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69624
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5338
·(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51635
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68487
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82913
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.80851
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79045
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77492
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.76192
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.75142
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74343
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.73793
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.020495
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.185576
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.362936
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.553992
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.760258
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.983721
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.226446
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491043
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780504
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098419
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449156
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837938
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271235
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.757055
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305456
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.929188
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64478
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4739
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44571
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60034
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.8648
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84409
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82595
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81036
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79729
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78674
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.7787
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77316
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.009914
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.174185
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.350685
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.540782
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.746045
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.968281
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.209705
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472763
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.760497
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076399
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.424816
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810954
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241111
¯(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.723228
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267151
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.885499
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59448
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41539
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37684
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50776
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66379
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.8824
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86418
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.8485
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.83537
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82476
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81667
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81108
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.999481
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.163007
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.338672
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.527847
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.732087
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953163
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193239
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454822
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740857
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.054853
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401013
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784536
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211629
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690125
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229731
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842824
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54539
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35832
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3097
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40754
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51004
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.92347
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90515
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.88941
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.8762
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86553
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.85738
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.85174
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.989267
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.152037
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.326922
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.515159
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.718376
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.93833
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.177156
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.437288
³(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.721635
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033731
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377706
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.758672
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182795
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.657732
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193127
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801153
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49744
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30264
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23075
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30996
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44504
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.96734
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94894
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.9331
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.91982
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90908
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90087
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.89518
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.979217
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.141294
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.315382
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.502739
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.704934
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923804
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161364
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420049
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702814
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013044
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.354904
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.733353
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154561
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.626115
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157385
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.760399
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45068
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24837
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17756
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21497
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38252
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.01407
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.99556
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.97964
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.96627
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.95546
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94719
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94145
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.969363
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.130755
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.304038
¨(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490534
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.691788
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909547
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.145875
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403214
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684383
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.99281
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332572
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.708608
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.126979
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.595147
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.122434
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.720662
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40501
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19536
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11823
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12252
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32233
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.0637
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.04508
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.02906
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.01561
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.00472
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.99638
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.99058
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.959736
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.1204
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.292933
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.478619
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.678917
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.895622
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130745
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386724
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666339
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97301
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.31072
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684417
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099996
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564921
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.088305
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681835
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36045
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14373
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05769
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04252
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26454
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.11628
