¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 21.9499
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.562942
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910089
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292305
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.7151
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181865
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.688478
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25638
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89728
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60692
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37964
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26034
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45135
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99823
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42996
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.3941
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.35584
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.30264
Î(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.29908
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.30123
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.34863
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.40061
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.45722
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186789
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421164
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675387
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951977
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244271
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560028
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90685
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.288744
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.711165
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.179469
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.685796
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25338
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89387
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59806
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36458
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24235
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41267
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91844
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35642
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.76895
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.60969
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.53471
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.5312
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.53985
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.58829
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.54803
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.49336
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18592
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420243
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674359
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950857
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245466
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557216
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903806
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.285348
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.707425
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176668
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683395
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2507
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89081
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58541
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35019
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22578
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37475
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86122
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27205
Ó(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.07561
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.87434
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.66131
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.65952
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.60725
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.61428
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.62573
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.6416
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185135
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419366
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.673421
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949803
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246867
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55847
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900891
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.28213
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.703856
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172708
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681305
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24833
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88318
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57333
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33642
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21001
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33754
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81171
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18793
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.02032
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.1503
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.91036
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.90865
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.8559
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.86312
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.87479
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.89094
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184355
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418564
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672534
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948867
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248373
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560116
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90151
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.279102
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700506
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168967
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679484
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24629
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86989
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56183
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32331
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19496
Ó(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30105
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76346
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10407
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.96398
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.43967
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.16949
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.16787
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.11464
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.12204
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.13396
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.1504
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183659
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.417816
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.67171
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947958
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249565
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561944
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90348
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.279043
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697322
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165405
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677984
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24304
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85706
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55092
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31088
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18068
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26528
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74472
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0253
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.90653
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.74522
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.43917
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.43764
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.3839
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.3915
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.40367
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.42043
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183006
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.417093
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670949
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947128
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248633
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563884
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905633
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281393
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696484
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162059
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676738
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23206
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84469
Ñ(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53777
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29912
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16715
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24728
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72648
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96091
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84805
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 24.06436
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.84394
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.81576
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.66419
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.672
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.68444
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.70151
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.182436
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.41646
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670262
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946373
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2478
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566019
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907983
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.283978
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.699308
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160348
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675811
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22148
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83278
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52425
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28798
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15436
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23002
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70879
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91348
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.80671
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 24.39779
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 24.13874
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 24.10931
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.956
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.96403
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.97675
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 23.99416
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.181908
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.415875
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66965
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.945671
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247062
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568284
