¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
!(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.609966
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.757064
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.761992
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.768634
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.777001
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.560309
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.573189
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.615512
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.632267
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.193243
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.171
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.150463
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.13161
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.114421
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.098882
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.084973
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.072685
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.062001
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.052917
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.045418
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.028022
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.77
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.764681
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.761079
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.759184
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.758999
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.760521
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.763752
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.768695
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.775357
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.783742
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.567664
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.580569
ú (409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.622937
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.63972
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.243512
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.221247
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.200695
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.181839
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.164657
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.149128
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.135245
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.122991
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.11235
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.103316
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.09588
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.044772
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.7783
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.772993
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.769403
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.767521
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.767352
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.76889
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.772141
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.777104
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.783787
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.792195
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.576891
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.589822
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.63225
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.649066
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.667827
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.60867
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.273656
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.253093
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.234232
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.217055
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.201549
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.18769
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.17547
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.164877
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.155899
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.148528
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.08931
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.788292
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.782998
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.779421
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.777557
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.777406
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.778965
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.782236
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.787224
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.793933
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.802371
û (409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.587995
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.600961
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.643459
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.660315
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.67912
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.699891
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571648
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.32829
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.307715
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.288854
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.271687
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.256197
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.242369
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.230188
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.219644
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.210724
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.203423
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.136026
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.130664
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.794704
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.791144
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.7893
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.789168
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.790752
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.794049
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.799066
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.805806
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.814277
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.936783
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.613997
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.656575
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.673478
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.692332
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.713158
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.534212
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.385212
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.364627
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.345766
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.32861
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.313141
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.299345
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.287207
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.276716
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.267861
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.260634
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.051449
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.179688
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.808124
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.804584
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.80276
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.802655
ø (409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.804266
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.807593
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.812643
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.819418
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.827927
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.950648
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.628941
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.671612
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.688568
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.70748
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.728368
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.496365
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.44449
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.423896
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.405037
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.387896
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.37245
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.358688
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.346597
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.336164
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.327376
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.32023
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.953181
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.32789
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.823269
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.81975
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.817952
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.817875
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.819516
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.822878
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.827965
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.83478
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.843333
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.966298
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.673509
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.688585
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.705601
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.724578
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.745535
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458078
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.506195
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.485595
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.46674
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.449614
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.434196
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.420472
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.408433
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.39806
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.389347
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.382284
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.854094
õ (409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.498159
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.840154
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.836659
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.834891
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.834844
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.83652
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.839921
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.845048
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.851909
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.860509
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.983745
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.692368
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.707507
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.724594
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.743643
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.764676
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.41942
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.570405
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.5498
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.530951
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.513843
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.498457
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.484776
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.472789
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.462485
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.453848
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.446877
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.75432
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.858797
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.855331
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.853593
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.853581
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.855295
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.858737
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.863911
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.870822
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.879474
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.003009
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.71319
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.728403
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.745565
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.764695
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.785811
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.380396
(409.54, 12.29, 331.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.92055
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.61659
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.597752
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.580666
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.565311
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.551679
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.539751
