¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.87237
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56102
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47043
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.695317
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908185
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136443
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.381808
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646185
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823483
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.932386
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.463539
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.072827
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.773603
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59377
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56665
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73903
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34369
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28901
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48669
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38889
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688739
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901163
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128908
µ(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.373718
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637472
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.842849
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.918935
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.448171
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.050606
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.747595
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56312
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53003
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6945
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.297
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23319
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.41499
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31023
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.682424
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.894391
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121642
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36592
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629043
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.863828
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.90517
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.428527
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.02798
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72127
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53212
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.493
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6495
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24926
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17645
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34583
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57182
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.67634
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887865
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114697
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.358434
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.620981
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886885
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.914478
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.41047
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.005079
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.694634
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50077
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45556
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60406
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20048
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11879
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27161
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04559
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670485
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88164
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107983
º(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351229
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613253
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911678
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.932081
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.39492
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.986224
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.669162
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46908
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41776
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55818
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15074
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06028
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11329
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.93311
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664885
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875625
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101555
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.34433
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605797
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.938159
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.95095
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.379111
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.968046
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.648053
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44185
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38039
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5119
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10002
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00089
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95719
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79859
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659536
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869905
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095438
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337734
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598696
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966352
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.9711
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.363047
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.949583
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.626616
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41667
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3504
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.47068
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04839
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92605
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89178
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7988
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654436
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864418
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089572
