¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.514063
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.509558
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.501957
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.495831
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.491176
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.487983
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.486254
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.485984
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.487173
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.4204
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.614178
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.823493
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.022005
Ï(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233011
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460619
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706842
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974004
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264807
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582482
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.696912
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.673808
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.652331
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.632457
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.614167
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.597441
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.582264
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.56862
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.556495
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.545878
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.536758
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.529127
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.522975
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.518298
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.515091
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.513351
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.513077
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.514267
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.393116
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.584772
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.791721
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.997797
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206988
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.432556
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676483
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941072
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228955
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543278
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.726447
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.703249
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.681686
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.661731
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.643367
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.626573
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.611335
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.597634
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.585459
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.558956
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.541787
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.534147
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.527986
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.523302
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.543873
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.542122
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.541843
Å(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.543034
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.366197
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.555762
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.760386
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.974072
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.181441
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405007
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646698
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908788
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193806
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504896
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.757729
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.734436
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.712778
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.692738
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.674295
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.657429
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.631478
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.617736
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.605526
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.594831
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.585645
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.577954
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.571755
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.567041
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.574357
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.572597
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.572311
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.573503
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.339662
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.527177
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.72949
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.948419
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15636
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377985
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617525
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.877109
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.15938
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467312
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.790795
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.767396
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.745643
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.725513
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.706988
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.690046
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.663978
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.650173
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.637906
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.627162
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.617932
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.610205
Ã(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.603974
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.599235
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.60658
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.604806
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.604516
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.605708
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.313483
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.49902
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699083
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.915488
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131778
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351525
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588902
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846113
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125634
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430497
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.825679
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.80217
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.780315
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.760091
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.741477
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.724454
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.698265
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.684394
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.672066
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.66127
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.651994
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.644228
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.637965
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.633199
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.640572
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.638787
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.63849
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.639683
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.287681
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.471214
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.669127
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.883071
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.107679
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325539
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.560835
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815704
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092605
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394463
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.862419
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.838795
