¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.996508
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621575
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.017702
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.468549
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.982965
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.57528
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.171774
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.820687
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.6279
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.70285
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87529
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57971
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.979882
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.15955
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357842
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.571794
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.800273
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.04952
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.324489
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.638257
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.038969
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.49272
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.010671
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.607352
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.234871
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.890351
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.70511
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.79603
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.41765
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.985152
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.166769
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.365665
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.579559
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.808724
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.058752
è(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.336311
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.657161
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.060302
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.516975
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.038488
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.639569
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.299085
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.962891
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.78484
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.89742
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.59193
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.990526
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.174079
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.373588
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.587451
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817316
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.068138
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348283
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.676116
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.081699
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.541316
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.066413
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.671927
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.364437
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.03675
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.86593
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.00011
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.76943
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.996642
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.181479
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.381607
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.595469
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826045
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.077676
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360404
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.695114
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.103155
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.565731
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.09444
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.704423
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.415816
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.11195
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.94838
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.10407
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.95016
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.43108
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.003571
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.188968
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.389725
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603612
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.834912
ä(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.087367
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.372671
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.714154
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.124664
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.590218
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.122564
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.737045
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.454103
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.18852
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.03223
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.20932
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.13417
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.02629
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.01058
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.196544
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.397938
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.61188
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843916
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.098396
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385084
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.733231
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.146224
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.614774
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.150777
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.769792
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.492558
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.26647
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.11748
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.31585
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.35652
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.64933
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.017669
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.204208
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.406248
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.620273
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.853057
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.109806
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397643
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.75234
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.16783
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.639391
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.179072
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.802655
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.531177
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.34716
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.20416
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.42366
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.67504
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.1427
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.024838
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.211959
Ü(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.414153
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.628788
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.862333
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.121347
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410347
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.771479
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.189476
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.664064
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.20745
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.835627
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.569948
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.42956
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.29228
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.53274
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.03426
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.032084
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.219795
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.422109
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637427
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871745
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133013
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.423193
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.790643
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.211158
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.688789
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.235901
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.868702
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.608865
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.48605
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.38187
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.6431
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.71834
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.03941
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.227716
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.430178
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.646188
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.881292
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.144809
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436184
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.809829
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.232873
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.713562
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.264418
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.901873
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.64792
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.5327
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.47294
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.75473
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.92106
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.046811
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.235721
õ(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.438356
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.655072
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.890972
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.15673
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.451801
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.829031
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.254613
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.738374
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.292995
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.935135
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.687108
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.57953
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.57118
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.87477
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.12568
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.054288
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243809
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.446644
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664075
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.901621
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.168775
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.468884
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.848243
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.276374
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.763221
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.321627
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.968474
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.726413
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.62655
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.67331
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.0211
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.33212
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.06184
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.251978
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.455042
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673199
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.912712
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.180943
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.485968
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.867462
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.298153
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.788098
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.350306
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.00189
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.765833
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.67374
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.77029
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.20037
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.54027
(334.75, 7.08, 311.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.069464
