¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
·(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.45448
(330.20, 7.30, 374.51) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 12.49309
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.46678
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.443
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.42172
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.40293
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.3866
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.37273
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.3613
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.3523
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.34571
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.34153
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.33977
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.29388
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569022
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84059
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137032
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461842
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819245
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214286
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.65312
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143378
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.694519
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29669
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97648
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75485
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.53678
µ(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.50788
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.48154
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.45773
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.43643
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.41761
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.40128
(330.20, 7.30, 374.51) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 12.38739
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.37595
(330.20, 7.30, 374.51) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 12.36693
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.36034
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.35616
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.3544
(330.20, 7.30, 374.51) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 12.30845
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56735
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838744
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135018
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459628
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816795
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211582
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650121
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140038
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.69074
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29469
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97419
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.747
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.55408
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.52514
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.49876
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.47492
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.4536
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.43476
(330.20, 7.30, 374.51) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 12.4184
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.4045
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.39305
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.38402
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.37742
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.37324
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.37148
(330.20, 7.30, 374.51) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 12.32547
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565601
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836858
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132967
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.457421
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81431
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.208834
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.647053
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13658
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686857
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29265
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9719
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73728
»(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.57388
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.5449
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.51848
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.49461
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.47325
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.45439
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.43801
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.42409
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.41261
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.40358
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.39697
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.39279
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.39102
(330.20, 7.30, 374.51) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 12.34492
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563887
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834958
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130883
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455099
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811796
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206013
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643909
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133072
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682904
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29064
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96528
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72758
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57917
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.56716
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.5407
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.51679
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.4954
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.47651
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.4601
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.44616
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.43467
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.42562
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.41901
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.41482
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.41305
(330.20, 7.30, 374.51) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 12.36687
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562094
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833005
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.12874
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.452767
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809213
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203145
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.640738
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129504
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678872
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28859
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95691
Ë(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71795
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57188
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.59196
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.56545
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.5415
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.52007
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.47788
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.47444
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.46049
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.44899
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.43994
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.44355
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.43935
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.43759
(330.20, 7.30, 374.51) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 12.39132
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.560247
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83104
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126577
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450361
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.806584
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200233
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637459
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.12587
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.674778
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28321
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94853
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70838
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5647
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.61932
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.59276
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.56876
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.54728
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.51802
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.50157
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.48759
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.47607
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.467
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.47062
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.46642
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.46466
(330.20, 7.30, 374.51) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 12.41829
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.456654
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.425379
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.398767
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.373481
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.349506
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.326795
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.305315
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.285033
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.265974
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.24808
í(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.231338
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.215733
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.201242
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.187841
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.175541
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.164314
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.154159
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.145052
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.136978
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.140299
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.183228
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.49662
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.50025
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.49605
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.49428
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.44781
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.32365
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.297319
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.272265
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.248472
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.225918
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.204562
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.184392
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.165388
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.147506
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.13076
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.115128
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.100577
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.087091
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.074672
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.063311
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.052978
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.043669
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.035375
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.028099
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.029547
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.051063
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.099761
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.220095
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.52826
(330.20, 7.30, 374.51) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 12.5265
(330.20, 7.30, 374.51) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 12.47991
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.256452
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.230707
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.206229
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.182989
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.160959
(330.20, 7.30, 374.51) (331.57, 1.38, 353.93) (0.81, 2.16, 0.81) Human 5.140111
