¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.644976
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.800573
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38789
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05239
”(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.81017
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68216
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.69606
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7592
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26697
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03143
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44591
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4355
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.37273
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.634635
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91737
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226904
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564674
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.930334
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.339339
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.780365
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.271817
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.795967
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3827
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0465
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80342
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67436
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68695
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74781
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25324
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07369
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45394
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.43754
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.369372
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631156
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91357
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.222739
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.560517
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.925743
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.334244
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.775498
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.266371
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.791516
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37769
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0408
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7969
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66682
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67814
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73676
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23994
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06475
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50476
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4409
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365984
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.627661
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.909753
†(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.218554
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.556375
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.921151
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.329145
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.770677
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.260978
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.787214
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37284
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0353
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79061
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65955
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66964
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72609
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.22715
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04909
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51506
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09137
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.362565
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62415
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.905919
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214353
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.552251
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.91656
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.32405
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.765909
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.255643
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.783069
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36817
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78454
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65254
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66144
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71583
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21478
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03397
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47131
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75367
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359118
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.620627
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.902072
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210135
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.548143
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911969
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318954
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.761193
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.250365
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.779078
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36367
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0249
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7787
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64579
œ(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45126
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70599
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20292
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01942
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43009
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.70701
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.355643
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617092
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898212
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2059
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.54388
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.907379
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.31386
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.756528
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.245147
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.775243
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35935
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01999
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77309
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6393
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44322
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6965
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19152
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00547
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31137
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.6632
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35214
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.613542
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.894337
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.201651
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.539203
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.902792
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.308771
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.751915
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.239988
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.771563
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35521
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01529
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7677
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63308
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43554
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68736
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18058
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.8653
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.17205
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52099
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348609
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.609745
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.890449
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.197387
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.53451
œ(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.898208
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.303683
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.747396
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.234891
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.768037
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35124
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01078
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76254
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62713
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42818
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67865
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17011
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7137
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.01348
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36689
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.345053
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.605871
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88655
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.193111
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.529804
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.893629
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.298601
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.742965
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.229853
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.764668
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34744
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00648
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75762
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35881
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42115
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67031
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16012
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56623
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84464
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21744
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.341474
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.60197
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88264
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.188821
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.525083
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.889053
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.293526
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.738593
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.224875
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.761455
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34382
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00237
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75292
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35307
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41443
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6624
«(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15057
(336.26, 7.66, 345.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53579
