¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273349
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4463
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60116
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76258
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93093
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10652
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28981
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48123
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68122
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88037
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01851
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16224
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81444
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.7089
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.461215
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.572276
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.73281
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953505
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.235269
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567783
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939158
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356615
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8306
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33061
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88648
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50038
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65687
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99013
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16764
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35292
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54642
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74467
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87738
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01548
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15913
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61992
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.51705
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.471076
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.582605
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.743063
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.964611
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265138
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601089
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976519
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398768
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.904324
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41235
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97759
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55677
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71496
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87988
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05187
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23136
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41873
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61444
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74405
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87677
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01484
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15848
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43276
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.32949
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.481453
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.593477
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.75347
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.989974
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29522
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634612
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014122
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.441243
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.979489
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49572
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12757
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61549
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77542
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94222
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11622
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29779
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48731
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61812
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74574
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87845
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01656
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16024
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30977
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.14893
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.49231
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.604836
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.764063
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.017235
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325455
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668336
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069177
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552183
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05608
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58076
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31298
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67654
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83839
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00715
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18319
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3669
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49924
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62196
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74967
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8825
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02068
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16445
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31407
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.97552
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.503645
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.616714
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.774758
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.044602
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355844
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744318
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232574
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.649881
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13409
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66744
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5042
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74007
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90384
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07466
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25283
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38711
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50522
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6281
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75591
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88889
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02719
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17113
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32093
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.80902
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.515516
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.629125
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788375
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.072127
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447701
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.891835
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403183
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.725176
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21362
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79576
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64703
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80607
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97188
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14484
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28145
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39511
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5134
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63644
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76446
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89762
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03613
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18027
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33024
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.6492
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.527891
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.642054
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.818437
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175856
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581369
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04539
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581385
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798375
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29461
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96819
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71354
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8746
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04258
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18191
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29141
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40532
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52377
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64705
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77528
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90869
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04748
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19185
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34212
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.49507
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.541095
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.657442
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.925682
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.297351
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720188
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205396
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206776
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.872849
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37716
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14559
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78258
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94577
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08834
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19376
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3035
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41763
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53638
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6599
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78843
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92211
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0612
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20593
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35653
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.34394
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.558054
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.702219
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.03655
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423275
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864385
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372136
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.294225
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948659
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47773
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32821
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85418
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00043
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10199
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20773
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3177
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43213
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5512
