¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 17.35699
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.72487
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.69694
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.67196
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.64993
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.63081
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.160536
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415807
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.694508
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.999948
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.326477
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.682012
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.079877
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.521802
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.01546
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.572186
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2046
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.93033
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79076
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79242
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97246
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37651
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.02665
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.04218
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.02727
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.01031
‚(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.99611
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.45061
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.58628
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.55954
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.53553
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.51424
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.49565
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.47973
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156342
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411235
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.689505
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.994454
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.318906
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.673652
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.070622
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.511262
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.003603
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.558702
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18919
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91011
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76569
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.76306
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93736
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33199
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.97418
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.49358
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.45088
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.30569
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 13.27299
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.61678
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.59082
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.56739
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.54651
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.52812
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.51223
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.49881
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.152118
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.40663
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684468
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.988923
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311351
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.665314
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.061373
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.500746
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.991766
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.545249
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17381
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88985
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74062
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73379
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90238
’(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.28767
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.63226
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.57446
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.42795
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.39609
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 12.3668
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.7565
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.7334
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.71268
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.6943
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.67825
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.66452
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.65308
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.147862
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.401994
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.679398
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.98308
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.303817
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.657
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.052134
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.490257
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.979953
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.531834
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15847
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86955
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71558
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70462
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.86753
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.24354
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.81198
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.77475
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.63391
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.60504
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.57857
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.00807
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.98734
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.96883
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.9525
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.93836
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.92638
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.91654
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.14358
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397327
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674294
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.976243
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.296306
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.648711
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.042907
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.479798
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.968164
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.518456
¥(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14318
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84921
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69055
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67554
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83282
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.14317
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.10675
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 11.10616
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.96014
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.94689
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.37199
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.35114
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.33239
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.31571
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.30109
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.28852
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.27798
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.26946
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.139271
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.392632
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.66916
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.969426
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.288816
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.640446
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.033691
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.469369
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.956405
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.505121
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12792
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82883
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66554
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64656
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.79824
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.51648
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.53333
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.68165
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.83636
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.98404
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.01834
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.01016
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.00394
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 9.999674
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 9.997361
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 9.996999
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 9.998586
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.00212
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.134936
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387908
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663993
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.962631
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281352
£(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.632212
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.024492
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.458977
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.944672
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.491829
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11271
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80842
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64056
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6177
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76381
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.41403
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.41406
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.48064
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.5639
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.81483
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.05442
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.04621
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.03997
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.03569
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.03337
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.03301
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.03461
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.03816
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130575
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.383157
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658798
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.955859
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.273914
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.624006
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.015308
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.448617
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.932973
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.478582
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09755
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78798
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61562
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58894
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72954
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.4537
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.45216
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.46537
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.53491
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.69045
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.09273
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.08449
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.07823
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.07394
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.07162
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.07126
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.07286
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 10.07643
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126191
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378378
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.653574
