¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.842657
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143848
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443108
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.77007
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147453
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.574998
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873795
ÿ(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.896932
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.869278
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.843512
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.819612
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.797549
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.777305
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.758857
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.742187
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.727279
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.714116
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.702689
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.692983
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.68499
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.678702
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.674113
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.671219
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.98777
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.98824
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120841
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354721
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608492
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864678
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13915
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.43797
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765377
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154481
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57161
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870147
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.866727
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.839171
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.813503
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.78969
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.767711
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.747541
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.729163
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.712556
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.697705
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.684595
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.673214
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.663548
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.655588
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.649328
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.644762
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.641884
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.93623
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.93671
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.118539
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352216
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.60579
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860563
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.134657
ÿ(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.433071
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.771877
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16164
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568856
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.8672
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.838447
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.810989
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.785408
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.761677
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.739774
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.719677
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.701363
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.684816
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.670019
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.656958
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.645618
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.63599
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.628062
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.621829
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.617283
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.614422
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.88728
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.88777
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.116285
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349746
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603118
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856576
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130323
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428359
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.778423
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168943
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.56677
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.864976
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.812068
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.784698
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.759199
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.735546
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.713716
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.693683
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.675431
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.658938
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.644193
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.631175
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.619876
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.610282
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.602385
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.596175
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.59165
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.588802
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.09401
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.10013
÷(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.11405
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347346
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600505
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85277
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126169
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431028
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.785133
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176366
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.565374
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.863474
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.787559
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.76027
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.734848
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.711267
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.689502
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.669533
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.651337
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.634895
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.620195
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.607221
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.595958
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.586396
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.578526
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.572341
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.567833
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.564999
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.63974
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.64631
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.111896
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34501
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597396
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849092
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122194
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437202
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791956
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.183915
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564637
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862662
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.764895
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.737683
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.712332
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.688817
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.667113
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.647201
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.629056
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.612664
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.598006
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.585071
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.573841
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.564309
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.556465
ñ(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.5503
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.545809
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.542989
(405.83, 14.26, 243.74) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 10.99862
(405.83, 14.26, 243.74) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 10.99935
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109766
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342691
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59416
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845597
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120406
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443482
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.798865
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.191539
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564529
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862543
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.744055
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.716912
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.691628
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.668173
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.646525
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.626664
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.608568
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.59222
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.577602
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.564701
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.553503
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.544
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.536179
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.530033
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.525558
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.522747
(405.83, 14.26, 243.74) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 10.98033
(405.83, 14.26, 243.74) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 10.98107
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.107687
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340468
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591084
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842283
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126235
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449881
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8059
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19933
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.565081
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.863173
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.725017
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.697936
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.672712
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.649313
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.627717
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.607903
