¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55945
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.871784
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.983893
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.108978
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.385569
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.188413
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.286285
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.388991
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.578362
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.858747
ö(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5515
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85303
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25654
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79861
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40595
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.4566
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.45829
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.700377
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.694023
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.743923
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.796261
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.855489
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.969196
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.092964
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.441695
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.136763
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.232504
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.332941
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.529627
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.85485
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53382
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84875
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25193
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76717
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3714
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.36963
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.3712
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.37673
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.750982
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.741885
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.733378
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.777102
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.842169
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.954738
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.077217
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.497325
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.086765
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.180466
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.28636
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.482216
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.850206
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51783
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8459
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24888
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73734
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33865
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28731
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28875
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.29415
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.804057
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.794873
ƒ (419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.786291
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.778301
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.829063
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.940518
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.061737
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.95079
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.038364
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.130112
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.243577
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.436087
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.844828
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50347
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8445
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24737
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7091
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30762
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20952
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21086
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21614
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.859766
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.850495
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.841837
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.833782
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.826322
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.926533
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.046519
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.905694
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.991506
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.081381
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.201926
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.391209
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.838718
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49078
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84451
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24737
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68239
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27834
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.13621
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.13745
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.38124
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.91829
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.908932
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.900199
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.892079
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.884566
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.91278
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.031561
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.862017
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.946138
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.03422
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.161379
ó(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.347544
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23867
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47968
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84595
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24893
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68284
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25073
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06729
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06843
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.07348
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.08245
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.979828
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.970384
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.961575
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.953392
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.945827
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.938872
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.016861
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.819713
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.902213
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.988575
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.121904
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.305062
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2285
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47355
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84885
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25206
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68621
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22485
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.00269
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.00374
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.00869
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01754
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.0446
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.035069
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.026186
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.017941
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.010326
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.003334
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.002416
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.778739
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.859684
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.944398
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.08348
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.263733
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21909
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47758
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85321
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25669
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69116
