¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„ (413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.856071
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.876612
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.816683
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.809564
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.803784
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.799338
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.355807
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.540639
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.739889
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95517
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.188498
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442128
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.410783
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.380611
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.351957
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.324785
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.299068
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.274777
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.251886
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.230374
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.210215
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.191388
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.173876
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.290101
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.419266
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.404978
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.391996
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.59742
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.177335
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.337908
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.22924
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.125109
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.025285
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.929554
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.35206
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.536603
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.735505
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.950445
 (413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183373
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436557
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.390623
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.360569
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.332024
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.304957
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.27934
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.255145
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.232346
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.210918
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.190841
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.172092
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.154653
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.400707
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.399318
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.385092
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.37217
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.697729
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.155116
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.144877
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.136057
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.623337
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.509128
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.399711
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.348393
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.532696
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.731266
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945868
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.178404
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431165
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.371851
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.341903
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.313461
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.286493
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.260969
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.236863
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.214148
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.192801
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.172801
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.154123
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.24365
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.39622
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.38074
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.366575
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.408268
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.146038
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.134424
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.135935
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.421085
(413.77, 14.32, 249.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 16.60964
(413.77, 14.32, 249.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 18.85685
ı(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.344881
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.528916
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.727218
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.941475
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.17364
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425976
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.694949
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983095
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.296251
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.269375
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.243936
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.219913
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.197278
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.176004
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.156074
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.320107
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.395684
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.378938
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.363517
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.349405
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.564005
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.269314
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.238956
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.228636
(413.77, 14.32, 249.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 16.78218
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.228941
(413.77, 14.32, 249.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 18.99685
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.341508
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.525274
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723284
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937226
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169039
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420989
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690943
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978716
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293856
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.253582
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.228226
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.204277
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.181713
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.218086
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.399548
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.39771
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.379684
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.362995
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.347627
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.333566
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.728381
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.816269
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.82932
