¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28307
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.32691
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.3528
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.38121
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.669643
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.669215
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.669892
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.671674
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.674564
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.678565
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.68368
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.689915
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.697274
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.650233
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28807
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20086
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06496
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.44012
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.46193
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.48625
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.51311
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.54253
(394.88, 14.81, 307.53) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.7706
(394.88, 14.81, 307.53) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.9935
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.582147
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.581302
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.581545
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.582877
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.585297
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.588809
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.59342
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.599129
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.689103
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.640512
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27813
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15054
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05725
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.60408
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.62684
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.65216
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.68005
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.71055
(394.88, 14.81, 307.53) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.4457
(394.88, 14.81, 307.53) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.46641
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.498247
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.497015
ô(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.496856
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.497767
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.499752
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.50281
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.506948
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.512167
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.690284
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633401
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26766
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10064
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9955
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77752
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20399
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68255
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.54268
(394.88, 14.81, 307.53) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 21.72942
(394.88, 14.81, 307.53) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 21.87599
(394.88, 14.81, 307.53) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 22.02888
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.417758
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.416168
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.415633
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.416154
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.417733
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.420368
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.424064
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.428823
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.103738
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.627518
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25661
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05115
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93416
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78657
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00664
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85876
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47626
(394.88, 14.81, 307.53) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 21.53216
(394.88, 14.81, 307.53) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 21.45765
(394.88, 14.81, 307.53) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 21.49825
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.340508
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.338583
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.337699
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.337857
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.339055
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.341296
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.344579
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.384935
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098628
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.621773
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2451
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00207
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87321
á(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79636
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8158
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.61452
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.23827
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.5011
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.266335
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.264099
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.26289
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.262707
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.26355
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.26542
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.268319
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.386014
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.093569
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616158
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23038
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9534
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81269
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80686
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63128
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37946
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85284
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54921
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.195087
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.192561
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.191049
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.190549
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.191061
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.192585
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.195125
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612768
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.088661
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.610633
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18843
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90518
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75263
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80519
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45274
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13851
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6129
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60344
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.126626
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.123829
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.122035
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.121239
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.12144
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.122641
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.124842
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608361
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083862
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.605257
à(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17099
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85735
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69296
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70432
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94743
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.382
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85802
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.98433
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.79422
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.92151
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.081239
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.057771
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.05571
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.054637
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.054549
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.055448
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.113617
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603944
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.079172
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.599964
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15408
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80996
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63375
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57928
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11852
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76274
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15971
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62233
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.94041
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.29062
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.06947
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.13791
(394.88, 14.81, 307.53) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.60217
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.152605
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.126608
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.101863
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.078341
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.056016
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.034863
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.11461
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.599553
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.074587
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.594814
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13749
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.763
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57497
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45777
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99148
