°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.40863
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.598941
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816099
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.050132
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.305069
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583779
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88967
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.232319
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.606094
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016474
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.475412
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614555
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2515
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9811
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82498
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79155
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.34321
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.33443
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.32825
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.32468
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.3237
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.32532
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.32955
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.600778
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816348
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.050404
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.305367
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584102
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.894098
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.236403
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605404
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.015705
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.474548
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.61087
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24731
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97627
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8194
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79093
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.46028
£(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.45156
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.44548
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.44201
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.44117
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.44295
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.44735
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601044
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816637
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.050716
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.305707
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.587325
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898707
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235857
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.604797
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.01503
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.47379
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.610868
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24322
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97158
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81392
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79058
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.58206
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.62048
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.58715
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.57058
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.56988
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.57183
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.57642
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601345
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816962
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.051072
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307864
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.591546
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901912
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235384
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.604274
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014448
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.473138
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.61521
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24119
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96705
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80866
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79053
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.71531
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.70673
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.70084
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.69761
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.69706
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.69918
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.70397
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601681
¸(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817325
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052274
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311743
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.5958
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901554
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234991
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603837
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.013959
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.47573
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.997293
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24132
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96261
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80351
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78684
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.84711
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.83862
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.83283
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.82974
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.82935
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.83165
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.83666
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602051
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817728
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.055855
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.315656
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.598466
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901265
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234672
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603483
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014246
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.478892
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.00087
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24165
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95835
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79856
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77888
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94007
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.97579
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.97012
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.96717
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.96695
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.96945
(424.51, 14.77, 251.85) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 13.97467
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602456
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.820986
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.059463
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.319598
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.598265
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901045
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234428
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603214
ñ(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018364
