¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.75115
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.940486
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.917716
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.896976
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.878242
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.8615
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.84673
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.833919
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.823053
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.814122
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.807118
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.802033
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.798864
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.797606
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.754615
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099877
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41145
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753262
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.129494
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537692
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99088
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.49682
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06518
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.14057
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.10708
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.07577
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.04661
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.01956
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.994605
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.97171
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.950853
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.932017
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.915182
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.900331
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.887447
ı(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.876522
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.86754
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.860497
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.855384
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.852194
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.850929
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107079
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419401
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.761982
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.139359
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553376
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008337
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.516388
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08727
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.19809
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.16441
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.13292
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.10359
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.07639
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.05129
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.02826
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.00729
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.98834
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.971407
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.95647
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.943513
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.932523
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.92349
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.916404
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.911259
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.908051
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.906775
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114221
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427166
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770562
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148869
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567658
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.025734
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535885
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10924
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.25828
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.2244
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.19272
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.16322
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.13585
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1106
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.08743
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.06633
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.04728
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.03024
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.01521
ş(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.00218
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.99112
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.982032
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.974904
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.969728
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.966497
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.920825
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121242
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.434884
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779013
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.158204
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578029
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043055
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555258
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13111
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.32121
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.28712
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.25525
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.22556
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.19802
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.17261
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1493
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.12807
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.10889
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.09175
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.07663
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.06351
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.05239
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.04324
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.03607
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.03086
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.02761
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.98165
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.12816
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442481
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.787331
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167427
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588247
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056683
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.574568
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15287
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.38695
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.35264
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.32057
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.29068
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.26297
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.2374
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.21394
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.19257
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.17327
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.15602
ş(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1408
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.12759
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.11639
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.10719
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.09996
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.09472
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.09144
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.0452
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.134965
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449923
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.795559
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176489
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598332
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.067942
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593723
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17451
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.45559
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.42105
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.38876
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.35868
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.33078
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.30504
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.28142
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.25991
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.24048
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.22311
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.20779
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1945
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.18322
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.17395
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.16668
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1614
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1581
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.11154
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141677
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.457291
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803638
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.185409
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608239
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078979
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606213
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19604
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.52721
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.49243
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.45992
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.42963
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.40154
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.37562
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.35184
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.33017
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.31061
û(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.29312
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.27769
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.2643
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.25294
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.24361
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.23629
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.23096
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.22764
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.18077
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148271
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464485
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811583
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194179
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.617985
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.089882
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618455
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21438
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.6019
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.56688
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.53413
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.50362
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.47533
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.44922
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.42527
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.40345
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.38374
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.36612
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.35058
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.3371
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.32566
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.31626
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.30888
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.30352
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.30017
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.25296
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154737
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.471576
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8194
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202841
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6276
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100615
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.63051
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22799
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.67976
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.64447
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.61148
