¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99393
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.425801
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.633217
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.854649
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.09544
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358179
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.650164
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445602
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837519
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.277333
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.844326
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523519
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3653
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87464
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.56983
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.921726
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.082494
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.255177
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.441107
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.648597
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871332
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.113596
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378009
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669918
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.469746
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856459
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298507
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.867802
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550861
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3692
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07573
ï(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.5747
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.93429
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.095959
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.269644
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.456687
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664246
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.888311
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13208
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.398203
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152179
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494329
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875715
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320085
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.89152
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578423
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38253
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27575
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57497
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.947069
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.109658
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.284364
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.472544
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679534
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905587
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.150892
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418761
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.174922
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.519358
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90016
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342095
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915491
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606294
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3841
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47418
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57064
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.960061
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.12359
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.299337
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.488677
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.695035
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.923159
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17003
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883015
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198071
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544883
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928452
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.36453
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.939659
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619647
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38546
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67061
ı(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.61174
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.973269
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.137753
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.314563
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.505087
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.710934
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.941031
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189501
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9045
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221645
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570897
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.957231
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38739
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.961806
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62099
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38706
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86458
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.65161
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.986692
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.152152
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.330045
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.521775
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.728974
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.959201
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.635261
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.926365
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245657
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597362
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986579
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419581
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.963138
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.622567
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38891
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05553
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68788
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.000329
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.166783
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.345781
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.538743
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.74732
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.977672
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655622
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9486
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270093
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624317
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016459
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362289
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.964682
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.624304
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39093
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24301
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.59545
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.014183
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.181651
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.361773
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.555991
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765975
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406471
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676289
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971248
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.294949
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651752
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.983835
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.27422
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588242
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626299
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39328
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69251
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45402
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.028253
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.196752
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.378022
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.573519
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.784938
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425763
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.697331
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994251
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.320246
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640644
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904383
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188694
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.495913
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.628433
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39577
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34743
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35754
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.042538
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.212089
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.394528
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59133
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19719
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.445367
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718683
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017666
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328146
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568721
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827245
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105678
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40631
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630791
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39853
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04404
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.26463
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.057039
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.227662
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.411291
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.609423
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218102
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466491
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740424
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041464
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262761
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498798
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.752233
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.025003
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.319382
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637921
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40149
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21357
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14272
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.071275
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243469
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.428312
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.008812
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.239339
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489551
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.762489
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982863
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.199142
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430772
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679344
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946693
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235043
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546791
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40471
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34804
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9967
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.085333
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.259515
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.445591
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.028753
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260911
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512978
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712877
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920065
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137217
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364625
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.608493
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870667
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153181
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45845
(429.84, 10.71, 354.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.789247
