¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.936473
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609617
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.897136
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212282
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559101
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942598
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367191
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802953
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17415
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.039923
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.011829
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.985657
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.961379
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.938969
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.918406
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.899666
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.882735
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.867594
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.854225
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.84262
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.832765
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.82465
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.818267
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.81361
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.810676
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.36337
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.3644
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.36766
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.334813
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597087
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883391
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.197146
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542446
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.924163
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.348272
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801296
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.204503
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.002144
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.974171
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.94811
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.923935
ø(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.90162
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.881144
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.862484
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.845625
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.830548
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.817239
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.805682
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.79587
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.78779
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.781435
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.7768
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.773879
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.32433
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.32536
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.3286
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.323285
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584507
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869672
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182092
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.525831
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905733
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327756
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.781936
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.2354
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.966424
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.938562
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.912606
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.888528
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.866303
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.845909
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.827327
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.810534
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.795519
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.782264
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.770756
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.760983
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.752936
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.746609
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.741993
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.739085
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.28775
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.28878
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.29201
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.311766
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571985
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855958
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167025
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509227
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887362
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30728
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.754147
ƒ (406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207874
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.932721
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.904966
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.879108
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.855123
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.832983
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.812667
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.794155
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.777428
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.76247
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.749266
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.737803
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.728069
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.720053
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.71375
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.709153
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.706257
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.2536
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.25463
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.25785
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.300277
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559441
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842251
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152009
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492678
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86897
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284019
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726683
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177392
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.901001
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.873345
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.847581
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.823681
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.801622
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.781379
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.776201
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.783713
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.792955
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.803934
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.816661
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.83115
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.847413
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.865469
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.885333
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.907029
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.22183
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.22285
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.22607
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288789
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.54695
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828571
õ(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476124
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850647
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259448
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.699565
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147282
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645607
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.267443
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.267792
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.269949
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.273914
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.279694
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.287292
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.296716
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.307975
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.321081
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.336048
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.352888
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.371619
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.392262
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.414833
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.43936
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.19242
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.21364
(406.54, 14.15, 247.25) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 11.25882
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.277308
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534435
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814924
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122001
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4596
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832405
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235036
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672759
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117544
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.612419
(406.54, 14.15, 247.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16621
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.835852
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.83989
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.84585
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.853742
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.86357
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.875345
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.889077
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.904782
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.922475
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.942173
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.963894
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 9.987662
(406.54, 14.15, 247.25) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 10.0135
