¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.15487
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.20754
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.20303
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.399117
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717529
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.066163
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449552
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873086
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.343174
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867857
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45718
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05192
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61411
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99429
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43185
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93514
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47755
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98832
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49186
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.036
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.37222
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.34611
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.32363
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.30477
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.27929
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.26763
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.25953
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.25501
è(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.426058
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746963
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098531
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.485243
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.912587
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387192
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.917198
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51281
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09311
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65552
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03858
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49999
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00915
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55503
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04195
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54951
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12426
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.42842
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.40223
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.37969
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.36077
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.33522
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.32352
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.3154
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.31087
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.3099
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.497864
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.488163
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.479489
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.471866
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.465315
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.45989
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.455642
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.452645
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.451016
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.450923
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.452603
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.456532
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.463522
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.47573
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.507123
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65988
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25558
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.48858
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.46231
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.43969
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.42072
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.39508
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.38335
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.37521
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.37066
” (379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.3697
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.423835
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.411855
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.400716
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.390407
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.380924
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.372254
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.364387
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.357333
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.351083
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.345627
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.340979
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.337135
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.334095
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.331871
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.330476
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.329916
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.333788
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.351006
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.387958
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.50371
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.48467
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.45895
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.44718
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.43902
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.43445
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.374851
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.361936
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.349828
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.338503
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.327961
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.318178
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.309158
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.300888
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.293349
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.28655
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.280477
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.275126
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.270492
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.266572
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.263365
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.26087
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.263257
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.27473
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.296899
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.334201
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.402684
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.52689
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.51508
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.50689
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.50231
— (379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.339629
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.326153
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.313468
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.301556
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.290407
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.280004
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.27034
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.26141
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.253191
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.245687
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.238883
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.232776
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.227358
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.222623
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.218575
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.215333
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.217229
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.226538
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.244141
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.27211
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.315363
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.390997
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.58711
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.57889
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.84382
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.90277
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.313954
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.300075
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.286977
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.274643
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.263068
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.252233
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.242128
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.232743
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.224066
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.216089
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.208804
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.202201
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.196276
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.19102
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.186433
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.182864
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.184488
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.19265
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.207951
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.231745
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.26684
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.320105
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.422496
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.65511
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.65051
› (379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.64953
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.295768
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.281553
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.268114
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.255444
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.243526
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.232347
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.221889
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.212151
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.203115
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.194775
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.187119
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.18014
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.173831
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.168189
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.163203
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.159473
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.160929
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.168399
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.182355
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.203831
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.234835
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.279663
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.350778
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.73563
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.731
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.73003
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.283941
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.269421
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.255679
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.242706
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.230482
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.218996
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.208236
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.19819
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.188845
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.180193
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.172225
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.164931
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.158303
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.152335
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.147026
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.143206
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.144558
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.151598
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.164738
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.184838
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.213532
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.254088
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.314585
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.437571
  (379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.81588
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.277867
(379.02, 14.78, 303.19) (382.92, 9.76, 285.29) (0.81, 2.16, 0.81) Human 3.263046
