¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
å(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.462533
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7493
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55586
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48415
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56368
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81867
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77313
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69261
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6725
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92859
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.118716
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.286204
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.472172
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.673815
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.89208
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.129054
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.387185
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.669372
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.979069
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.320426
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.69847
œ (368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.119355
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.590695
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.122017
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.72542
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.36281
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70503
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50521
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42566
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49543
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7464
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80541
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72178
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2364
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73277
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.101201
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.273256
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.459134
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.659735
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.876833
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.112489
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.369128
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.649613
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.95736
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.296466
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.671896
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.089719
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.557434
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.084435
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.682614
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.31931
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.662
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45603
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36891
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4292
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6755
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8404
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.754
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76447
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33346
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.089492
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.261345
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.446307
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.645888
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.861841
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.096204
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.351379
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.630199
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.936037
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.272942
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.645811
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.060637
¢ (368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.524816
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.047591
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.640676
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.27613
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62024
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40833
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31391
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36507
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59973
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87807
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78937
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64347
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86931
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.078582
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.249628
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.433693
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.632273
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.847101
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.080199
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.333942
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.611126
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.915097
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.249844
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.620213
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.032109
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.492828
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.011481
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.599595
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.23402
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5797
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36204
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26058
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30292
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52639
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83503
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82782
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68575
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48062
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.19463
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.20369
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.18243
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.070718
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.238107
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.421292
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.618889
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.832617
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.064474
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.316812
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.592399
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.894536
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.227176
¬ (368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.595094
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.004127
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.46147
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.976097
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.559361
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.19295
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54043
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31722
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2089
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24276
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45545
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76165
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86948
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73153
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11392
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.099415
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.22678
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.409103
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.605738
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.818385
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.049026
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.299989
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.574011
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.874357
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.204933
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.570458
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.976693
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.430733
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.941431
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.519966
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.15293
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50234
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27378
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15888
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18453
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38686
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69106
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91436
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78086
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.91088
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.128837
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.216519
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.397127
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.592817
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.804407
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.033856
(368.42, 9.22, 334.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.283472
