¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.54802
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.59096
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.57513
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.58544
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.70059
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.99997
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.05292
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.782056
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.804962
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.877398
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.953432
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.03331
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046959
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.441823
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899436
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.428834
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.574005
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.544503
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.540409
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.61113
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.684809
ã(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.933585
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.15795
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.36625
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.76346
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.63031
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.61443
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.62401
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.7399
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.0407
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.06783
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.787611
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.808913
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.881521
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.957738
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.037812
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050491
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.447276
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91295
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.444077
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.63684
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.607144
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.595352
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.667042
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.741724
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.979314
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.19569
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.39937
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.80846
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.67238
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.65645
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.66517
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.78187
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.08394
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.08602
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.793767
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.813228
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.886024
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.962441
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.042727
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.806961
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.776215
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.747216
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.711598
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.702411
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.672511
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.652564
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.72527
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.801004
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.208732
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.201329
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.184776
ï(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.169881
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.155005
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.70123
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.70897
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.82651
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.12973
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.10753
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.800527
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.817909
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.890909
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.967542
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.048062
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.887537
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.856469
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.827166
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.719991
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.565325
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.740687
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.712647
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.785876
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.156934
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.241788
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.363003
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.375394
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.360121
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.323348
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.124035
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.069205
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.87389
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.17812
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.13237
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.807897
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.824146
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.896177
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.973046
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.053815
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.971362
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.939961
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.910342
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.823864
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.665379
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.385277
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.78351
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.109246
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.284341
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.405527
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.531998
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.576812
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.561137
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.547185
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.343513
è(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.097253
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.92404
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.22914
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.16224
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.815883
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.832241
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.901831
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.978951
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.05999
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.056273
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.02683
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.996885
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.932583
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.770058
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.254425
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.857352
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.091407
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.429369
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.577302
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.709409
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.789922
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.773822
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.759486
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.577147
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.367817
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.933819
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.28285
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.19671
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.824491
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.840966
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.907873
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.985263
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.066591
(332.19, 7.37, 365.97) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.295229
(332.19, 7.37, 365.97) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.22362
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.086936
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.046419
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.149919
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.253246
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.93427
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.190459
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.537192
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.757663
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.89582
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.015693
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.999142
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.9844
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.826262
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.605016
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.873001
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.3393
ê(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.23442
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.833727
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.850328
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.914304
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.991982
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.073617
(332.19, 7.37, 365.97) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.35722
(332.19, 7.37, 365.97) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.066854
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.180652
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.051843
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.096602
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.30087
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.01436
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.292705
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.648613
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.947211
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.091876
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.243127
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.23819
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.223012
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.092375
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.858043
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.922266
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.39853
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.2754
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.843597
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.860333
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.921128
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.999112
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.081074
(332.19, 7.37, 365.97) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.422101
(332.19, 7.37, 365.97) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.29311
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.003974
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.060184
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.142773
(332.19, 7.37, 365.97) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.349898
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.09775
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.867602
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.763788
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.146612
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.298285
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.456951
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.492184
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.476543
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.377199
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.764521
(332.19, 7.37, 365.97) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.087764
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.46061
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.31969
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.85411
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.870991
