¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.286486
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.204614
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.484662
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.660587
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.023014
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.051098
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.080379
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.110892
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.174936
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.282153
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.395901
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.516761
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.977157
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.95365
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.020396
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.099778
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.182394
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.337951
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.852634
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.495172
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.401363
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.389996
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.379724
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.370536
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.365802
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.535646
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.717746
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.913424
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.17633
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.233929
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.981685
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.008986
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.037458
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.067135
æ(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.148237
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.253954
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.366074
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.485162
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.850919
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.843382
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.91715
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.993903
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.073775
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.77072
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.421013
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.161104
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.149321
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.13859
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.128902
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.120245
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.147876
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.303807
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.470581
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.649321
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.896927
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.853557
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.94175
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.968306
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.996006
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.024885
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.122218
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.226483
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.337029
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.664912
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.730456
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.746558
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.817943
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.892211
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.969491
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.35322
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.050176
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.931838
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.92067
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.910507
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.901339
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.89316
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.947744
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.09144
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.244784
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.40874
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.642612
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.512393
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.90316
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.929003
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.955967
ì(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.999679
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.096863
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.199725
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.308747
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.639131
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.615426
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.653445
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.722574
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.794494
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.291609
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.993576
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.734544
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.722957
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.712343
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.702691
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.693992
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.686236
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.763356
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.896231
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.037744
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.188721
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.410202
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.204734
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.865865
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.891029
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.917291
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.976232
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.072159
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.173664
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.281213
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.528812
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.505512
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.56387
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.630864
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.23604
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.942289
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.680614
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.542952
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.531905
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.52179
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.512599
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.504321
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.496949
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.59296
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.716224
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.847258
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.986781
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.197028
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.925938
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.829821
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.854336
é(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.879928
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.953382
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.048095
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.148284
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.25441
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.423333
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.415212
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.477665
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.542634
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.89621
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.637656
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.405854
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.367082
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.356525
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.346865
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.338091
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.330195
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.326831
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.435057
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.549744
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.671453
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.800817
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.000839
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.672176
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.794985
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.81888
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.843832
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.93112
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.024656
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.123574
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.228321
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.322423
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.334072
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.39468
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.85526
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.599257
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.369711
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.216095
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.205114
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.195005
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.185757
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.177364
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.169815
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.187232
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.288352
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.395354
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.508736
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.629046
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.81972
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.440271
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.761316
