¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.62087
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.49946
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.197081
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515629
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871736
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.269895
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710818
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.195499
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.73929
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33333
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00342
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76892
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.72128
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.59613
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.56939
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.56019
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.64887
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.79676
(381.90, 6.97, 355.00) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 16.70504
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.76081
Ã(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.2309
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.08066
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.06637
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.14384
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.32053
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187161
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504724
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861068
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.25809
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.699109
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.185197
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.727709
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31788
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98585
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74872
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.69545
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.57007
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.54337
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.53306
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.62125
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.76444
(381.90, 6.97, 355.00) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 16.58202
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.56515
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.07323
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.92845
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.91431
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.98868
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.15695
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177115
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49374
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850245
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.246075
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.685777
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.174663
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714414
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30224
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96806
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72831
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.67239
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.54636
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.51971
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.50803
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.59578
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.73383
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 14.01541
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.37916
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.92196
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.78216
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.76816
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.83943
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.004
¸(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166989
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482662
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839258
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.233895
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672195
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161623
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700403
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28647
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95008
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70772
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.65209
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.52498
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.49837
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.48508
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.57243
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.70491
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 13.96138
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.2023
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.77681
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.64155
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.62768
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.69584
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.85689
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156752
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.471985
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828118
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.22156
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.65841
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.146226
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686288
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27046
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93193
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68301
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.6345
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.5059
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.47933
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.4642
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.55119
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.67767
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 13.91022
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.03412
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.63753
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.50637
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.49264
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.55769
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.71539
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146452
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461717
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816792
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209022
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644466
¶(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13058
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669662
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25435
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9136
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6523
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.61963
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.48912
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.46258
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.44536
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.53202
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.65208
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 13.86189
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.8742
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.50389
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.37644
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.36282
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.42476
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.57928
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136082
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.451345
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805338
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19634
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.630331
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114741
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.650288
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23808
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89511
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62193
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.60744
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.4746
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.44809
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.42856
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.51492
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.62813
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 13.81633
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.72213
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.37567
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.25153
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.23804
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.29685
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.44834
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125598
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440811
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793713
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18348
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.61602
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098728
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630789
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21864
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87643
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59188
Ã(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.59793
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.46234
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.43586
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.41377
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.49987
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.60581
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 13.77351
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.57756
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.25264
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.13148
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.1181
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.17379
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.32238
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.11506
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430149
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.781998
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170449
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601528
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082517
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.611144
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1965
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85762
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56219
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.59107
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.45233
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.42587
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.40174
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.48686
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.5851
(381.90, 6.97, 355.00) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 13.73339
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.44012
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.13462
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.01609
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.00282
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.05538
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 13.20121
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104394
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419367
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770084
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15729
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.586884
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066097
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591391
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17415
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83459
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53886
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.58687
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.44456
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.41811
