¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.07708
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.961047
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.135005
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.323253
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.526948
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.747295
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986864
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247962
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529305
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841965
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.189631
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.571372
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.987434
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.453653
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.980978
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.578483
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26307
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86312
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85152
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02639
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42935
ß(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0327
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19763
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31486
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.15788
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.24499
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.24064
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.23887
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.23968
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.955603
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.129278
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.31707
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.520253
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.739895
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978802
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238163
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518565
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830738
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.177196
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.55516
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.969348
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.433343
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.958354
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.552542
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23249
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82224
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80381
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96019
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33973
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94576
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04637
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21822
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12186
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.29655
(399.26, 14.28, 244.36) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.29735
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.950272
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.123671
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.311017
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.513699
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.732655
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.970914
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.22858
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508063
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819757
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165033
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.539312
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.95167
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.4135
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.936128
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.527217
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20337
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99156
ë(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7573
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89553
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25235
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86098
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89941
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11229
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.08976
(399.26, 14.28, 244.36) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 15.52091
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.41738
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.20311
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.945057
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.118187
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.305097
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.507192
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725575
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963204
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219216
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.497802
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809019
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.153144
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523829
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.934406
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.394122
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.914433
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.502505
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17496
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95854
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71204
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82493
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16715
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77839
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75657
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00678
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.06162
(399.26, 14.28, 244.36) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 15.44164
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.29818
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.21298
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.939958
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.112823
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.299307
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.500818
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.718657
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.955669
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210067
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488172
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.798526
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.141381
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.508708
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.917549
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.375206
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.893266
ï(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.478404
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14725
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92635
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66792
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75598
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08412
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69791
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61788
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90561
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03739
(399.26, 14.28, 244.36) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 15.89577
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.73756
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.31095
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.23194
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.935081
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.107583
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.293651
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.494592
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.711898
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.948081
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201134
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478868
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788277
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12807
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.493948
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.901096
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.357114
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872624
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.454906
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12023
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89353
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80331
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69256
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0032
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59208
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48313
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84171
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.017
(399.26, 14.28, 244.36) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 15.66516
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.41593
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.32652
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.29297
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.930324
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.102463
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.288125
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.488513
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.705302
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.940093
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.192419
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469783
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778269
õ(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.11508
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.47955
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.885049
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.339602
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.852505
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.43201
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09391
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8594
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76629
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63625
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92433
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48662
(399.26, 14.28, 244.36) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 16.87307
(399.26, 14.28, 244.36) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 16.84839
(399.26, 14.28, 244.36) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 16.82706
(399.26, 14.28, 244.36) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 15.72224
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.43455
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.34491
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.40357
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.925683
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.097467
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.282733
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.482584
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.698868
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.932303
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183921
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46092
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.768507
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102411
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465515
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.869406
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.322541
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.832906
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.409714
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06828
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82848
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73024
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58151
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84752
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38919
(399.26, 14.28, 244.36) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 16.5607
(399.26, 14.28, 244.36) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 16.53672
(399.26, 14.28, 244.36) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 15.91104
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.71936
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.45604
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.39417
(399.26, 14.28, 244.36) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 14.5188
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.921154
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.092592
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.277473
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.476803
ğ(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.692594
(399.26, 14.28, 244.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.924711
