¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.309316
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.121815
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.107795
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.094363
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.081506
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.069206
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.05745
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.046223
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.035512
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.025309
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.015595
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.006365
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.997605
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.989308
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.981464
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.974066
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.967106
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.960572
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.954465
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.948773
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.94349
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.938616
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.934139
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.930061
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.926375
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.923077
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.097308
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.082075
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.067462
› (377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.053448
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.04002
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.027158
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.014847
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.003075
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.991824
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.981083
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.97084
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.961084
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.9518
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.942982
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.93462
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.926703
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.919222
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.912171
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.905542
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.899328
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.893523
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.888118
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.88311
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.878496
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.87427
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.870423
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.866954
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.863867
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.050577
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.035753
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.021533
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.007899
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.994833
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.982324
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.970348
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.958898
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.947957
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.937515
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.927556
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.918073
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.909053
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.900485
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.892363
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.884675
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.877413
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.870571
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.864141
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.858115
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.85249
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.847257
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.842411
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.837949
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.833865
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.830155
œ (377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.826817
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.823843
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.015342
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.000812
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.986877
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.973517
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.960715
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.948456
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.936724
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.925507
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.914789
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.90456
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.894807
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.88552
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.876687
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.868301
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.860349
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.852824
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.845719
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.839025
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.832736
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.826844
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.821346
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.816233
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.8115
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.807143
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.803161
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.799544
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.796291
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.793399
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.987463
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.973161
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.959441
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.946289
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.933687
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.921619
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.910072
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.899031
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.888484
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.878416
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.86882
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.85968
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.85099
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.842738
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.834916
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.827514
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.820526
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.813944
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.807761
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.801969
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.796566
œ (377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.791541
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.786893
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.782614
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.778705
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.775156
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.771967
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.769134
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.964926
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.950798
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.937247
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.924257
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.91181
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.899892
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.888487
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.877583
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.867165
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.857224
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.847747
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.838722
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.830141
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.821993
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.81427
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.806963
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.800064
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.793567
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.787465
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.781749
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.776417
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.771459
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.766873
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.762655
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.758799
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.7553
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.752158
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.749367
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.946579
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.932586
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.919166
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.9063
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.893973
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.882169
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.870874
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.860076
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.84976
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.839913
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.830528
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.821591
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.813094
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.805026
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.797379
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.790143
 (377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.783313
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.776881
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.770838
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.765179
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.759899
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.754994
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.750454
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.746278
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.742462
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.738999
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.73589
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.73313
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.931695
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.917804
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.904483
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.891711
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.879475
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.867757
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.856546
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.845825
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.835586
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.825813
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.816496
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.807625
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.79919
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.79118
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.78359
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.776408
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.769627
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.763242
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.757243
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.751626
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.746385
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.741514
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.737007
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.732862
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.729073
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.725637
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.722549
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.719808
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.919791
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.905975
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.892725
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.880021
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.867848
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.856194
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.845042
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.834378
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.824192
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.81447
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.805203
Ÿ (377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.796378
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.787986
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.780018
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 1.772466
