¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.70651
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.3269
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.78302
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.56612
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.53629
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.60966
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.95018
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044748
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.282356
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540736
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822666
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.13145
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.471034
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846183
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.262691
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.7277
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.250078
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.84101
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51479
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29281
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20952
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30812
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59762
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24802
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.25115
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.1725
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.1903
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.34235
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.71226
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.49703
Ê(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.45634
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.51722
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.81235
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.028276
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264478
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.521266
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.801389
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108106
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445313
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817707
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.231004
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.69223
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.210114
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.795651
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46287
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23284
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13928
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22583
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49052
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11689
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.31829
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.22066
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.22346
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.37614
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.68686
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.45014
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.46465
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.38976
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.68003
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011914
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246721
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501937
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.780271
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084943
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.4198
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789474
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199598
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.657091
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.170544
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.750765
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41153
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17354
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06988
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14453
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44416
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98787
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.38966
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.27246
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.25993
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.4133
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.4268
Å(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.30637
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.38833
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.38617
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995665
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229093
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482749
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.759313
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.061965
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.394497
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761485
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168477
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.622285
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.131369
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.706353
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36077
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11492
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00134
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.06423
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.34657
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.861
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.46535
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.32796
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.30807
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.45385
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.39764
(386.89, 7.11, 357.79) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 20.75583
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.88
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.97212
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.979528
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211591
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463705
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738519
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039171
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369408
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.73374
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.137637
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.587813
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.092589
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.662413
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31058
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05697
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93364
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98492
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.25044
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73617
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.54545
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.38722
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.36727
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.14041
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.3718
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.93991
³(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.85139
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.93152
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963509
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19422
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444808
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717889
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016567
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344534
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.706245
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.107087
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.55368
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054209
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.61895
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26096
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9997
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86679
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9066
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15577
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.59751
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5014
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.27273
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.14521
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.15793
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.34925
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.92736
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.82691
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.89512
(386.89, 7.11, 357.79) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.34367
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947607
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17698
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426058
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697428
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.994151
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.319878
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.678998
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.076829
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.519886
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.016229
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.575963
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21192
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9431
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80079
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82926
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06253
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.48419
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35158
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.32791
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.1816
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.17905
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.3493
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.931824
£(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.159874
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407459
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677134
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.971928
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.295441
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.652004
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.046861
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486428
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978647
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.533453
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16345
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88718
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73561
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75292
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97072
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37274
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2045
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.38749
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.22188
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.20377
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.3745
(386.89, 7.11, 357.79) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 24.64152
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.916164
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142905
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.389013
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.657015
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.949901
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.271226
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.625265
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.017187
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.453318
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.941471
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.491423
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11556
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83192
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67128
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67755
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88032
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.26315
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.95567
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.45155
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.2661
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.24508
(386.89, 7.11, 357.79) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.40339
(386.89, 7.11, 357.79) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 23.84323
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.900627
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126072
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.370719
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637067
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.928069
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247234
œ(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.598782
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.987808
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.420547
