¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.47779
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.441533
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.01144
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59935
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13687
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78544
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51433
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31323
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13265
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03843
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9279
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.90173
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.90691
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.89485
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.93641
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.96467
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.26828
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.616589
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.009377
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.447386
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.910486
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.419816
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.985491
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57107
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10554
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75777
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48324
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27688
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.09242
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99445
ı(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.87845
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8501
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.84885
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.83489
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.87566
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.89938
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.18962
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.603836
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.99524
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.430103
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.890872
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.397812
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.959325
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54306
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07452
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72999
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45235
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.24082
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0528
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95148
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83015
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79253
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.77722
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.81466
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.83705
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.11407
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.87788
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.590779
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.980753
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.412282
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.870962
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.375535
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.932955
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51533
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04381
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70211
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42167
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.20508
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01379
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.9081
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.783
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.75141
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.7378
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72181
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.75606
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.77765
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.0416
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.72746
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.577424
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.965925
ı(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.394198
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.850764
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.352989
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.906389
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48788
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01343
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67415
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39119
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16965
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97538
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86429
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.73699
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.70433
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.68476
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.66864
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.69983
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.72114
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.97215
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.57978
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.563777
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.95076
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.37586
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.830288
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.330182
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.87964
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46071
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98336
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64611
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36093
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.13454
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93757
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82119
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.69211
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65872
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.63341
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.61768
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.64598
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.66749
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.9057
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.43478
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.549844
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.935267
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.357275
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.809539
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.307128
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.852715
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43383
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95362
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61799
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33089
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09974
û(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90036
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7788
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64836
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.6146
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.58373
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.56891
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.59444
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.61667
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.8422
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.29373
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.535633
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.919454
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.338449
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.788528
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.283833
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.825625
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40723
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9242
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58981
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30107
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.06526
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.86375
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.73713
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.60572
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.57193
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.53572
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.52231
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.54522
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.56865
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.78162
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.15755
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.521145
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.903323
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.31939
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.767261
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.260305
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.798377
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38092
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89511
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56157
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27147
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03111
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82774
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.69616
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.56419
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5307
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.48934
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.47785
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.49827
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.52405
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.72392
‚(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.02401
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.50639
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886888
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.300108
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.74575
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.236555
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.770981
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3549
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86634
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53328
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2421
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99728
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.79234
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6559
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.52375
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.49091
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.44461
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.43552
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.45359
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.48246
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.66907
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.89309
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.491375
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.870153
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.280603
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.724003
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.212589
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.743445
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32917
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8379
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50494
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21297
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96379
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.75752
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61635
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.48491
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.45255
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.40149
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.39529
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.41115
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.44355
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.61704
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.76474
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.476104
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.853127
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.260891
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.702027
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.188424
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.715783
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29826
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8098
ú(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47657
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18407
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93063
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72331
