¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ó(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311971
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.389089
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.889064
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.452066
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07799
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78255
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.57822
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.462
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43037
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.56498
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.91239
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.53827
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53846
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.15861
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035411
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.280139
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.546881
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.842202
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.16483
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.518751
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.916306
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.355458
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.850957
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.40871
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02906
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72755
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51652
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39401
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35125
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.47178
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.80101
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.40284
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.37028
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04725
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.018821
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.262088
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527174
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820507
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.140783
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.492165
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886581
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.322064
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.813112
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.365713
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.980597
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67319
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45564
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32677
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27341
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3802
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.69168
ş(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.2701
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.20573
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89235
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.002311
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244129
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507572
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.79892
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.116881
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465748
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857038
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.288918
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.775538
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.323081
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.932615
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61946
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39402
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25691
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19685
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29019
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58437
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.13999
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.04473
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.67612
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.86086
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985883
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226265
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488079
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777444
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.093128
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439509
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.827679
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.256018
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.738238
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.280812
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.885109
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56637
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.33249
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18801
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.12154
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20175
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.47905
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.01247
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.88719
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46499
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62101
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969543
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208499
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.468698
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.756081
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.069528
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.413443
÷(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.798512
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.223369
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.701218
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.238916
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.83809
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51391
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27172
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12008
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.04748
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11485
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37569
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.88749
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.73304
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25886
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49121
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95329
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190833
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.449431
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734837
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046082
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.38756
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.769535
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.190974
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664479
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.197391
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.791553
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46208
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21168
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.05312
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97465
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02948
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.27425
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.765
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.58222
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.05757
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.39039
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.937126
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17327
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430282
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.713712
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.022796
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.361861
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740756
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.158839
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.628028
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.156242
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.745499
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41008
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15239
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98711
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90304
…(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.94562
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17471
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.64497
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50622
