¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.87033
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.5413
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53961
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53997
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.54239
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131951
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.367193
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.383596
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.377414
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.372485
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.368804
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.366368
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.365173
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.365221
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.366509
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.36904
ù(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.753237
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.844336
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.939167
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.57558
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.55313
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53282
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.51463
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49855
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.48456
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.47265
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.4628
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.455
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44925
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44555
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44388
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44425
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44666
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.135021
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.339661
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.332096
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.325782
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.32071
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.316877
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.314279
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.312914
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.31278
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.313877
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.346067
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39681
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53332
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.50675
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.48236
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.46011
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.43998
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.42196
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.40603
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.39217
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.38037
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.37061
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.36289
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.3572
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35353
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35188
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35225
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35464
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.138153
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.290222
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.282541
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.276102
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.270897
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.266921
û(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.26417
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.262643
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.262337
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.263253
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.351471
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46564
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44329
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41695
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.39277
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.37072
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35077
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.33291
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.31712
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.30338
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.29169
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.28202
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.27437
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.26873
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.2651
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.26347
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.26385
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.26622
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141323
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.242661
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.234873
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.228315
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.222983
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.218874
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.215979
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.214298
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.21383
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.214572
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 9.025011
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.998925
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.974736
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.952415
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.931943
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.28483
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.26506
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.24735
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.23169
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.21808
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.20648
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.1969
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.18932
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.18373
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.18014
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.17853
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.1789
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.18127
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144537
‰ (434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.196919
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.189029
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.182361
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.176911
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.172673
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.169642
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.167816
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.167194
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.167774
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.931494
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.905683
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.881744
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.875985
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.8957
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.98726
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.18272
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.16516
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.14964
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.13613
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.12464
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.11513
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.10762
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.10209
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.09852
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.09693
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.09731
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.09965
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147779
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.152942
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.144954
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.138183
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.132621
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.128263
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.125105
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.123141
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.122374
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.122799
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 8.987945
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 9.003275
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 9.02042
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 9.039396
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 9.060224
(434.10, 14.27, 309.63) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 9.082919
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.10365
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.08623
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.07083
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.05744
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.04603
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.03661
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.02916
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.02367
Š (434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.02014
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.01857
