¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.878199
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521027
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.793952
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092201
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419308
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779639
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178444
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.622132
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.118588
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677689
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17806
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69372
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.814967
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.787414
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.744779
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.474941
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.222814
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.986767
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.774899
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.683881
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.60724
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.547531
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.4902
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.44158
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.406672
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.388363
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.405144
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.031772
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262125
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512078
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784178
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081498
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407548
Ã(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766686
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164062
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606119
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100573
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657372
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17002
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68482
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.757964
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.730639
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.676526
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.410703
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.162228
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.929513
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.767662
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.702424
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.639749
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.579552
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.52892
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.491734
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.456359
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.422757
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.431805
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.02422
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253938
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503184
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774498
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070911
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395906
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753857
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149839
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590215
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082785
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.63729
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16261
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67659
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.703396
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.676287
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.611487
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.349463
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.104441
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.874885
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.803089
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.737294
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.674083
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.621314
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.581748
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.544055
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.508191
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.474116
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.460124
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.016743
·(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245829
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494417
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764908
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060401
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384423
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741131
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.135754
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.574512
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065166
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617376
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15582
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66909
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.651198
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.624296
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.549553
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.291118
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.049371
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.909526
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.840443
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.77406
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.719006
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.676953
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.636837
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.598612
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.562232
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.527661
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.494859
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009343
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.23782
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485681
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755428
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049996
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372991
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.728537
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121805
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558974
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.04772
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597664
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1496
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66224
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.601305
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.5746
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.490623
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.23558
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.022052
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.949499
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.879769
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.822263
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.777605
