¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ (430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.0076
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33104
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.09818
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.87735
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.84431
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.81524
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.7901
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.27065
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.74199
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.76288
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.78767
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.8164
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.27524
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.70831
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.68672
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.20866
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29467
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03957
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89823
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73784
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64754
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8498
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43318
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10181
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.00876
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.7888
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.75578
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.72672
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.70157
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.20106
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.93044
ë (430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.95212
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.97775
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.00735
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.96024
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.71506
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.7624
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.89471
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26944
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01077
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8592
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67153
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57181
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70892
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2727
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.28964
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.25177
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.16911
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.13869
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.64272
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.61757
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.00212
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.13248
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.16166
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.19487
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.23215
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.92348
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.73174
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.74966
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.71313
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24315
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98074
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79162
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60486
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4958
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56811
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0698
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.44551
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.53077
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.62519
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.83145
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 18.92657
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.70951
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.76006
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.38903
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.4195
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.45406
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.49273
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.20992
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.99428
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.00282
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.95588
¦ (430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21578
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94953
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72156
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53792
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41953
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42742
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86945
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43169
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26311
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.72157
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.68834
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.65904
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.63364
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.67295
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.67303
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.71406
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.7593
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.80882
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.5091
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.26791
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.26641
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.20839
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18746
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91719
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65123
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4707
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34299
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33922
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67164
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21425
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00188
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.26187
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.61678
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.58749
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.56209
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.59015
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.06574
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.11321
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.16503
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.7735
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.82729
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1457
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85789
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58063
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40001
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26623
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25109
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47646
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99979
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74053
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94978
ß(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.89751
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.02319
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.15442
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.29137
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1041
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79526
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50983
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31935
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1893
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16286
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2962
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77702
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48559
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.63374
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.01471
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.15837
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.30821
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.46439
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06878
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73355
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43884
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23856
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1122
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06355
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14633
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55004
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.23489
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.29396
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.00924
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01813
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67957
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3691
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15766
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03503
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96388
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99885
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37121
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98837
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96159
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.59044
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95582
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62529
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30791
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07844
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95775
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86467
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88506
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19677
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74598
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6421
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13331
·(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89329
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55768
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24651
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00883
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87522
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76594
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77195
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02402
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51182
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35262
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.72674
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83054
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48674
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18486
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93897
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78018
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6588
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65946
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85307
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29702
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06889
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3373
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7676
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41559
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12303
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86895
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67876
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53466
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53244
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6839
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08556
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7908
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.95785
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97384
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70453
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34438
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06101
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79877
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57821
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4118
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39172
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51452
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87749
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51822
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58811
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.39945
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64135
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27311
