¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™ (403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.352622
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.247937
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.249165
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.265116
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.298244
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.355237
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.459875
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.966752
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.182843
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.640676
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.561181
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.516708
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.491113
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.468545
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.44721
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.427102
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.408191
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.390466
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.373909
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.358496
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.344216
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.331046
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.318979
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.308003
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.298111
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.289285
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.281519
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.27481
‚ (403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.269148
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.264517
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.26588
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.282668
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.317827
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.379582
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.503853
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593882
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.804837
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.696261
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.598764
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.548671
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.521751
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.499325
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.478142
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.458188
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.43944
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.421875
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.405489
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.390248
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.376133
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.363146
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.351273
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.340488
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.330785
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.322168
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.314614
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.308114
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.302673
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.298279
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.299916
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.318738
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.35892
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.434062
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.591469
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792942
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.010692
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.671307
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.606035
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.575054
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.5528
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.531802
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.51204
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.493504
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.476151
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.45998
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.444966
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.431105
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.418366
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.40676
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.396252
Á(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.386855
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.378517
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.371274
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.365108
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.360001
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.355953
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.358286
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.381845
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.435504
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.581318
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58904
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.790321
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007857
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.243639
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.718006
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.668623
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.646618
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.626144
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.606931
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.588959
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.572217
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.556656
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.542309
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.529127
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.517107
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.506244
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.496509
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.487895
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.480433
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.474063
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.468798
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.464659
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.461624
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.466584
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.510798
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.70086
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586706
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.787803
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.005133
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240685
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494845
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763477
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.056726
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378942
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.703029
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.058533
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.455173
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.879642
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.342715
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.858319
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40374
º(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00735
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72046
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5565
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.57668
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.38342
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37417
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98052
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59474
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22659
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97217
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74193
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.584466
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.785388
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00252
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237851
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.491879
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.760248
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.053197
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376529
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.700389
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.055636
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.455059
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.879514
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.345175
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.86589
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42251
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03806
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76494
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63022
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67012
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.5172
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.47422
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89886
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62592
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25417
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89987
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59686
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.582323
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.783076
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00002
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235137
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489083
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.757202
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.04987
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.373692
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.69809
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.05311
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.455376
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.879865
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.348207
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.874132
Ä(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44225
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06992
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.81081
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70611
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.73828
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65537
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.57164
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86734
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65602
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13335
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77034
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45761
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32902
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.580274
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.780866
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997629
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.232544
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486456
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754343
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046744
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.370766
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.696128
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.050957
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.456124
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.880692
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.35181
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.883046
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46297
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10295
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85341
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75707
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.793
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79808
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71465
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11872
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67607
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10224
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64605
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3241
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33701
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578321
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.778759
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995351
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230072
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483998
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751667
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043821
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.368018
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.694504
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049174
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.457304
Ã(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.881996
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.355985
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.892632
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48467
