¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478386
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53752
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30382
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17492
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15174
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35404
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84389
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.89561
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.51039
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.27511
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.52956
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.28438
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.27255
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.26314
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.25612
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.2515
ï(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.24928
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.24944
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.25199
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974379
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217296
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.48212
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.771887
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.090219
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438258
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.819168
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.242539
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.716179
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.874773
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54262
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3097
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17667
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1618
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36369
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85569
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.70597
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.68402
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.51654
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.4803
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.58014
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.568
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.55834
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.55113
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.54637
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.54407
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.54421
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.54679
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975927
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218979
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483959
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773903
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.09244
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.4393
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820096
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.243574
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.71734
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.250793
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54767
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31553
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17843
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17197
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37325
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.68324
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.86595
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.84515
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.69624
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.96249
ï(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.55077
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 24.29503
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.41934
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.85597
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.85608
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.8587
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.977458
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.220646
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485779
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7759
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.094441
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.440218
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821027
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.244613
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.718506
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.252111
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55266
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3213
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1802
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17477
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38271
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.90717
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.09597
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.10539
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.98297
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.31944
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 21.21103
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 22.89424
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 23.32928
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 22.56649
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978973
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.222296
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.487582
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777875
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.095378
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.441061
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821961
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245654
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.719674
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.253432
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.873034
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32698
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.182
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17688
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.27094
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.1406
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.33585
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.37798
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.28452
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.19944
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.57388
Ğ(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 21.64948
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 21.83939
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 21.00289
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.980472
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223927
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489363
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77983
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.096313
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.441907
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.822899
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.2467
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.720848
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.254848
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.877296
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33042
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18384
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17905
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40126
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.09406
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.58617
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.66369
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.08257
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.3931
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.62218
(328.21, 7.29, 380.79) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.60953
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.981955
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225541
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.491126
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.781761
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.097242
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442755
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823841
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.24775
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.722026
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.258201
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.881509
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59786
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18567
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18119
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4104
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.38951
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.21347
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.18931
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.32611
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.59409
(328.21, 7.29, 380.79) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 21.69503
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983418
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.227135
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492869
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.783671
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.098167
¹(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443605
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.824783
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.248802
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.723207
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.261525
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.885677
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60267
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18755
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18338
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41939
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.72871
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.49362
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.46897
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.5808
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.8028
(328.21, 7.29, 380.79) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 22.62823
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984866
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228711
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494588
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.784763
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099088
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444458
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.825729
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.249858
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.724391
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.264821
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.889797
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60742
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43513
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18556
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4283
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.08795
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.78798
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.76282
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.84732
(328.21, 7.29, 380.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.0723
(328.21, 7.29, 380.79) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 24.045
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986295
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230265
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496287
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785595
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.100004
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445313
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.826676
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.250915
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.725578
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.268373
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.893867
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61211
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43727
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19182
Ä(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43705
