¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.360001
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97352
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.652553
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44503
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59597
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06075
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63928
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.957699
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.140219
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.337774
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.552243
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.786759
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.054032
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.383383
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.75202
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.167327
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.559758
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.988764
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005301
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.689467
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4883
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64637
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16536
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87857
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.959555
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.142224
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.339946
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.554606
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.790962
¼(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.064471
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.395036
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.765107
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.182127
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.592288
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.024448
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.037326
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.726622
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53202
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6965
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27027
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12182
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.961478
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.144302
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.342196
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.557052
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.795237
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.074881
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.406656
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.778162
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.196893
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.625285
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.060649
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.560201
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764074
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57602
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74641
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39441
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36896
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.963468
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.146451
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.344525
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.559584
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.799584
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.085257
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.418243
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.791181
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.211625
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.658754
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.097363
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.59856
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801786
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62043
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79605
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54983
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.965522
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.148672
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.346932
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.563094
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.804002
â(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.0956
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.429796
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.804163
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.226317
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.692694
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.134594
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.637459
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.250752
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66514
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84539
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70692
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87489
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.967644
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.150965
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.349417
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.5672
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80849
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.105906
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.441309
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.817105
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.240968
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.722638
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.172348
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.680159
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.295929
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7102
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89438
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84396
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17298
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.969832
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.153328
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.351978
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.571369
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.814022
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.116173
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.45278
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.830003
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.255572
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.739305
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.21121
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.723475
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.341653
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.11405
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98047
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98055
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49727
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.972085
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.155764
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.354617
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.575602
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.823222
ƒ (335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.126397
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.464206
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.842854
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.270127
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.755923
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.250926
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.767414
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.387931
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.16541
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07569
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11737
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89253
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.974404
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.158269
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357813
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.579897
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.832381
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.136577
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.475585
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.855653
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.284627
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.772482
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.291201
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.811976
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.434758
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.21718
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.24345
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25421
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34441
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.976788
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.160845
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.361812
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.584255
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.841496
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.14671
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.486914
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.868399
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.299069
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.78898
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.332044
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.857166
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.48214
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.26936
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.31159
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39105
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80877
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.979236
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.163491
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.365867
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.588674
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.850564
 (335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.156793
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.498188
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.881087
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.313449
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.805412
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.370084
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.902989
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.53007
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.32195
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.38004
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53029
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.41656
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.981748
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.166206
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.369979
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593154
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.859583
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.166823
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.509408
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.893714
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.327765
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.821774
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.38896
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.949447
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.578557
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.37493
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.44878
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.0288
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08939
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.984325
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.168992
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.374145
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.597695
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.868551
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.176799
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.520566
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.906278
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.342011
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.83806
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.407755
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.996887
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.627594
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.42831
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.51779
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.14929
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.0798
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.986967
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.172619
(335.81, 7.28, 311.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.378366
