¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
!(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.078132
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.393252
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.70437
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.046873
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.428425
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.855276
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.338065
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.972578
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.888062
Ù (380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.855311
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.836019
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.8184
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.802453
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.788143
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.775476
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.764429
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.754996
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.747171
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.740906
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.736274
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.733186
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.731719
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.744552
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.936008
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.130961
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.340514
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.569044
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.819192
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.094113
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.381014
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.689007
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.030421
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.410086
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.838078
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 8.107135
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.918854
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.847232
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.817182
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.796598
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.777682
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.760428
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.744803
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.730793
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.718391
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.707548
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.698319
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.69065
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.684523
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.67996
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.67696
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.687506
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.940709
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.133728
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.343525
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.572333
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.822799
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.08876
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.367131
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.674367
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.014194
Ñ (380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.396239
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.825404
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 8.090101
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.912729
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.842401
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.812232
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.790459
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.770386
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.751976
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.7352
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.720047
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.706496
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.694531
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.684148
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.675308
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.668057
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.662354
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.65819
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.66808
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.943279
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.136518
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.346564
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.575653
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.823393
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.076142
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.354036
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.659926
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.003046
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.385135
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.812934
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.295065
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.950645
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.871859
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.839261
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.816066
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.794602
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.774824
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.7567
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.740239
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.7254
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.712182
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.700552
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.690503
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.682048
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.675132
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.669792
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.679956
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.945871
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.139331
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.349625
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.578998
Ó (380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.811863
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.064374
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.341787
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.65096
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.993258
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.374217
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.80068
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.28121
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 8.066786
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.947932
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.907636
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.882106
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.858405
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.836466
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.816281
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.797828
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.781077
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.766003
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.75258
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.740791
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.730633
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.722075
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.715162
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.726811
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.948485
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.142168
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.352713
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.570878
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.801245
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.054058
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.33393
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.642286
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.983633
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.363479
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.78863
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.267593
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.391483
(380.58, 10.10, 321.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22062
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 8.073354
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 8.03858
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 8.006824
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.97771
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.951158
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.926883
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.904813
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.884841
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.866915
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.850947
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.836843
(380.58, 10.10, 321.34) (356.42, 3.49, 322.39) (0.81, 2.16, 0.81) Human 7.824666
