¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64215
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.55753
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.5459
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.53693
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.53061
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.132094
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.322875
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.529099
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753762
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.004316
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272456
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.568881
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.900995
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.261019
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.665852
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.115849
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.623846
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.219797
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.903752
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69661
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47272
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64848
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05019
é(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.6161
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.58839
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.56344
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.54121
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.52168
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.50484
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.49067
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.47915
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.47027
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.46404
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.117482
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.307077
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.511974
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.734834
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983618
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24985
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.543411
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.873016
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.22976
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.630941
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.076575
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.579411
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167991
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.842834
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62426
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53952
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53596
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91332
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.55162
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.52409
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.4993
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.47722
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.45784
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.44112
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.42707
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.41565
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.40687
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.4007
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.103014
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.291443
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.495033
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71609
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963127
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.227505
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518206
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.845382
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199081
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596494
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.037843
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.535615
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.116973
ï(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.782904
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55318
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45422
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42573
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77938
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.49038
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.46302
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.43839
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.41645
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3972
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.38061
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.36666
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.35534
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.34664
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.34055
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.088692
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.275973
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.478271
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.697855
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.942841
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205418
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49327
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.818089
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.168799
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.562506
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.999649
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.492456
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.066736
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72395
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48332
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37052
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3177
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64837
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.4323
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.40511
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.38062
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.35883
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3397
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.32323
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.30938
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.29815
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28953
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28351
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.074517
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.260666
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.461692
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679841
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922764
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183592
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.468604
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.791142
ó(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.138911
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.528977
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.962001
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.44993
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.017277
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.664433
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41469
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28839
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21186
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52021
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.37734
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3503
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.32595
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.30429
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28528
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26891
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25516
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.24402
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23547
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22952
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.060488
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.245525
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.445296
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.662031
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.902897
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.162026
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444829
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.764537
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.109414
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.495905
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.924912
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.408031
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.968588
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.605024
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34463
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20779
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10817
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39483
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.32542
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.29852
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.27431
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25277
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23388
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21761
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20395
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19289
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18441
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17852
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.046609
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.230552
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.429084
ß(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.644427
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.88324
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140723
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421437
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738275
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.08031
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.46329
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.888354
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.366756
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.920383
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.546522
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2751
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12872
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00657
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27217
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.2765
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.24974
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22565
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20422
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18544
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16926
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.15569
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1447
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1363
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.13046
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.032881
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.215744
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413057
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.627026
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.863793
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119679
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39834
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712354
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.051598
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.431129
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.852323
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.326099
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.871347
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.488911
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20671
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05094
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90699
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15218
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23052
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20388
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17992
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1586
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1399
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.12382
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.11033
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.09941
Ò(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.09107
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.08528
