¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95133
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.96627
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.97867
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12352
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11538
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66636
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4684
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.294402
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.626523
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.009433
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434502
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909097
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13925
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70369
Ì(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13936
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.51304
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.23898
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04465
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.94376
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.95333
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.09478
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08142
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62714
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.42262
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279428
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625982
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00881
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433832
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908346
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12684
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69009
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22972
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.49719
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22144
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.02515
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.92196
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.92878
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.06696
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04856
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58919
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37832
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.278718
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625172
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007914
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432834
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.907199
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11479
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67694
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29241
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.48184
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.20447
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.00628
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.90086
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.90504
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.04004
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01671
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.55248
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.33547
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27933
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624118
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006744
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.431512
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.905749
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10312
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66423
Ä(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27847
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.467
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.18806
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98804
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.88046
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.88209
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.01402
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.30316
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.51702
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29413
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282119
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622797
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.005286
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42989
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903922
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09188
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65196
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26499
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.52737
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17221
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97043
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.86077
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.85994
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.98891
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.27448
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.48283
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.25425
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284642
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62559
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.003568
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42801
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901768
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08105
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64013
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25202
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60927
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15692
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.95344
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.84179
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.83858
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.96471
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.24682
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.44985
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2158
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287016
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628153
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.004463
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42573
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899275
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07057
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62868
Æ(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23952
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.71991
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.1422
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.93708
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8235
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.81801
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.94141
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.22021
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.41813
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.1717
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289192
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630529
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007092
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4244
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896441
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0605
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61773
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22748
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84348
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12803
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.92134
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.80591
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79823
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.919
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.19462
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38764
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.12131
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.291157
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632695
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.009466
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427067
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.893241
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424341
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60716
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21591
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88472
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.11443
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.90623
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.78902
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.77924
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.89749
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.17006
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.35838
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07258
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292899
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634636
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011595
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429451
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.895145
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420359
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82443
È(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20481
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87252
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12826
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.89174
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.77283
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.76104
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.87688
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.14652
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.57847
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.02541
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.294446
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636318
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013509
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.431532
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.89747
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419851
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06998
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36204
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86085
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.23815
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.87787
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.75735
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.74362
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.85716
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.12402
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.52081
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97992
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.295781
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637803
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015129
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43338
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899509
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422123
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01206
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54012
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84966
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3773
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.86462
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74255
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.72699
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.83834
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.03133
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.46436
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93597
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296921
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639047
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016491
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434883
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901196
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424063
