¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Õ (431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11523
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.23713
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.22747
Š (431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.22585
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415113
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824648
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.23665
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690983
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17362
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69462
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30415
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07688
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96039
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85546
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8594
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02396
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44321
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.70144
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.67657
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.65482
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.63618
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.6543
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.88288
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 17.31942
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.86151
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.90007
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.53077
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.405574
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.826715
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.238953
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.693513
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16555
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68565
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27149
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03946
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8975
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79132
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78545
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93739
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33954
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.68616
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.6613
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.63957
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.67701
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.8979
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.5109
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.395647
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.821518
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.241024
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.688096
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15739
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67659
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25411
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0017
¼(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83494
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72298
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71198
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8518
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.22456
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89319
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04447
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82626
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38538
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810126
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242908
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68063
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14912
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66746
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24395
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96367
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77271
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65162
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63898
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76681
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11054
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75573
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.85042
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52662
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374788
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.79837
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244653
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.673073
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1408
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65825
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23363
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92534
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7108
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58068
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56642
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6825
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99753
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61975
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65896
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.94112
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.85448
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.77276
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369553
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.789404
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.241409
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665483
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13243
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64894
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22327
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88669
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64923
É(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5102
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49442
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59878
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88888
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48513
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47104
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.74305
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.79527
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.85202
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.373763
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794115
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231736
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657793
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12395
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63955
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21282
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84976
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59258
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44215
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41913
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51577
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79133
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35196
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2909
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.85796
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.91096
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.96851
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.37767
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798441
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21897
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.650085
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11543
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63009
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20227
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8299
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55282
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39665
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36409
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43338
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69463
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22019
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10019
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 21.97822
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 22.03203
(431.50, 13.22, 339.68) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 22.09042
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381197
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80238
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206078
