¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.429951
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.88111
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.85859
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.83844
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.94207
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.93158
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.92362
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.91818
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.91527
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.91488
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.917
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.92165
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917487
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172652
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452105
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758643
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.096368
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464839
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.851852
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.282893
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765823
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.310452
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.929345
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63856
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45931
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41991
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 13.04657
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 13.01352
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 12.98315
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 12.95545
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 12.93038
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 12.90792
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.35031
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.33633
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.32497
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.31623
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.31009
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.30654
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.3056
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.30725
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917217
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172344
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451799
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75913
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098642
»(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466857
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854093
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.285419
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76866
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313668
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.932994
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64276
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46419
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42566
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56606
(332.67, 7.11, 323.57) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 14.50392
(332.67, 7.11, 323.57) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 14.47763
(332.67, 7.11, 323.57) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 14.45424
(332.67, 7.11, 323.57) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 14.43373
(332.67, 7.11, 323.57) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 14.41609
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.86786
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.85324
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.84135
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.83218
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.82571
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.82194
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.82087
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.82249
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.916859
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171996
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451396
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758646
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098142
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46891
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856355
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287935
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771458
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316847
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.936616
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64696
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46907
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43138
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57288
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.4549
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.42869
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.40538
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.38495
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.36736
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.33005
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.31807
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30889
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30251
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29892
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29812
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30011
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30488
°(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.916443
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171526
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450888
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75809
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097518
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470884
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858582
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290408
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774247
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32001
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.940218
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65111
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47391
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43707
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57969
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.43613
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.40996
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.38668
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.36627
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.34871
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.32682
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.31484
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30566
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29928
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29569
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29489
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29688
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30166
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.915941
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.17096
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450256
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757412
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098726
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472868
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860776
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292841
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.777031
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323152
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.943799
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65522
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47869
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44274
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58643
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.42022
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.39407
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.37081
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.35042
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.33288
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.31817
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.3144
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30522
­(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29884
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29525
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29445
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29644
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30122
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.915359
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.170332
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449554
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756664
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101539
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474867
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86297
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295329
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779787
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32625
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.947368
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6593
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48346
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44834
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59312
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.40714
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.38102
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.35778
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.33741
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.31989
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.30519
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.31675
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30757
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30119
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.2976
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.2968
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.29879
(332.67, 7.11, 323.57) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 14.30357
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.914692
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169611
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448787
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755822
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104222
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476826
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86517
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.297758
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782515
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.329342
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.950867
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66339
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48819
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4539
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59979
(332.67, 7.11, 323.57) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 14.39689
