¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 19.07856
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.13867
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.28186
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.482405
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.690489
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.916337
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588513
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.871934
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182298
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523531
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900423
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318801
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785744
Å(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307878
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.879428
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52794
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26995
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03941
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9597
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02917
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14842
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73336
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.66882
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.64375
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.62219
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.60411
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.58949
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.57831
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.17709
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.17263
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.32382
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.47729
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685215
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.910398
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582401
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865232
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.174929
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515428
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891499
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.308851
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774614
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.292921
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.86256
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50874
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2479
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00142
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87927
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93022
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0329
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54053
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.70551
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.68038
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.65876
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.64063
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.62596
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.61475
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.21476
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.21028
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.472229
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679849
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.904524
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.148953
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858652
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167718
¼(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507484
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882672
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.299013
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763639
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278257
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.845965
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48987
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22622
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96431
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80036
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83351
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92017
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33664
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01098
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.72063
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.69894
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.68075
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.66604
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.26421
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.25615
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.25164
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.46745
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.674504
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.89872
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142632
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85216
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.160575
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499626
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87397
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289381
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752838
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.263845
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.829708
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47134
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20497
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92807
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74633
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73903
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00092
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38378
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74184
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.19407
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.35523
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.33636
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.32108
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.3094
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.3013
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.36904
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.462851
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.669222
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.892987
¯(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136385
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845767
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153577
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.491905
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865421
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.27986
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742222
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.249668
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813728
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45315
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1794
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89269
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7059
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68165
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18762
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4607
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48036
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.0462
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.40441
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.38546
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.37013
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.27912
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.35027
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.458036
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664005
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.887323
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130217
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839453
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146676
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484307
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857044
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270517
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731748
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.235775
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798043
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43533
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14897
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85822
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66643
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83681
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37935
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53997
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26583
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.94048
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.06111
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.43844
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.42305
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.41127
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.453274
