¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.56746
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54745
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.53761
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.41713
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.39607
(411.24, 14.53, 245.38) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.93228
(411.24, 14.53, 245.38) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 20.63136
(411.24, 14.53, 245.38) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 20.60352
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.617622
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85412
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.107972
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385366
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692134
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.031226
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.404047
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.826129
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.297871
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.8318
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09118
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82481
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71177
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70574
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83333
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10419
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62887
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.51139
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.39558
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.37455
(411.24, 14.53, 245.38) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 18.98747
(411.24, 14.53, 245.38) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 18.98395
(411.24, 14.53, 245.38) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 20.94472
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.624097
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861187
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.117052
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395131
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.702866
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043201
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.417572
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.841296
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.315789
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.852169
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11882
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85398
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74598
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74955
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8885
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17014
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71162
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.4888
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.37746
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.35645
(411.24, 14.53, 245.38) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.17859
(411.24, 14.53, 245.38) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.03126
(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 20.93424
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.164184
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.162217
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.162037
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.16364
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.167035
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.630536
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.868217
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126122
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405091
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.713582
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055083
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.431225
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.85645
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.334137
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872548
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14658
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88314
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78026
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79364
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94431
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23684
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79566
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.4698
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.36277
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.34177
(411.24, 14.53, 245.38) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.42046
(411.24, 14.53, 245.38) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.2687
¤(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 20.71833
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.152597
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.150632
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.150452
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.152054
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.155441
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.636939
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.875206
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.135181
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415039
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.724278
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066944
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445523
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.87158
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.35229
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.892934
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17451
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91231
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81452
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83801
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00069
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30435
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87934
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.45438
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.35148
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.33049
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.72814
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.84338
(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 20.93302
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.142822
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.140857
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.140676
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.142275
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.145659
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.643303
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.882154
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143367
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424975
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734951
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.078784
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.459826
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886689
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.369363
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.564939
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20253
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94147
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84882
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88265
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05768
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37264
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96256
­(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.44251
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.34357
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.3226
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.60187
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.57613
(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.15638
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.134844
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.132881
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.132699
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.134297
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.137678
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.649628
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.88906
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.150937
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434896
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.745603
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.090599
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474135
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.901771
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.386409
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587877
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23069
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97059
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88307
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92754
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11528
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4417
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04685
(411.24, 14.53, 245.38) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.31989
(411.24, 14.53, 245.38) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.31034
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.31809
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.85459
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.82838
(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.38878
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.128659
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.126697
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.126513
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.128112
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.13149
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.65591
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.89592
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158458
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444799
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.756227
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102388
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.487474
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.916822
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.403424
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607409
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25897
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99972
µ(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91735
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97272
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1735
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51153
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13218
(411.24, 14.53, 245.38) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.17366
(411.24, 14.53, 245.38) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.14419
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.31695
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.11806
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.09135
(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.63061
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.12426
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.122298
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.122115
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.123711
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.127087
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.662432
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.902735
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165927
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454683
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.76682
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114143
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.500593
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.931839
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.420404
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626968
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28175
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03124
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95154
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01809
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23096
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58213
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21138
(411.24, 14.53, 245.38) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.33949
(411.24, 14.53, 245.38) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.30966
(411.24, 14.53, 245.38) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 20.03203
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.47225
(411.24, 14.53, 245.38) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.36561
(411.24, 14.53, 245.38) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.88229
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.121642
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.119679
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.119497
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.121092
(411.24, 14.53, 245.38) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.124466
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.66939
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.909501
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173347
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463171
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777654
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.125868
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.513678
