¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾ (380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.310954
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.81212
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.411417
ç (380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.564211
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.728925
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.906961
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.103614
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.320944
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.558741
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.819973
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.116509
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.452682
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.829543
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.285147
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.789123
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.331927
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.957927
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.687675
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81769
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35841
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.77822
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.32542
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.95254
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.413188
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.566116
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.730978
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.909184
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.106764
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.324383
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.562508
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.824118
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.123726
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.46074
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.844939
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.302718
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.795665
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.339432
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.966623
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.697867
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82248
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36968
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81555
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3307
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.24055
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.41506
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.56813
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.73315
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.911533
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.110028
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.327945
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.566411
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.828412
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.131071
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.468945
Ï (380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.860468
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.320448
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.802433
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.347195
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.975617
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.708414
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82694
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38051
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85205
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3378
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.86551
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.41703
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.570249
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.735437
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.914007
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.113401
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.331629
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.570447
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.834548
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.138544
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.477291
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.876122
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.331905
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.809422
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.355216
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.984914
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.719314
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8311
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3909
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88769
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.34674
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.43051
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.419101
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.572477
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.73784
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.916606
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.116887
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.335433
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.574618
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.841387
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.146142
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.485779
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.891902
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.338245
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.816637
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.363492
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.994507
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.730562
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83494
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40085
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92245
ä (380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.41663
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.67636
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.42127
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.574812
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.740357
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.919766
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.120485
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.339361
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.578922
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.84834
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.153866
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.497835
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.907808
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.34478
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.82407
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.372026
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.004398
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.742166
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83847
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41035
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95632
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.89938
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.423538
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.577252
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.742991
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.923175
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.124192
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.34341
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.583358
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.855403
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.161715
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.511976
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.923837
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.35151
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.831729
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.380816
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.014592
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.754123
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84167
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41939
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99088
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.95475
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.425908
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.5798
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.745741
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.926685
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.128012
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.347579
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.587931
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.862579
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.169689
Ø (380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.526215
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.934185
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.358436
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.839607
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.389862
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.025083
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.766431
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84456
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42798
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.04722
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.01237
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.428374
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.582456
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.748606
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.930296
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.131941
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.35187
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.592635
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.869866
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.177788
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.540554
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.940489
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.365554
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.847709
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.399165
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.035872
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.779095
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84712
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4361
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.1004
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.48709
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.430941
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.585217
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.751585
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.934009
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.135981
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.356282
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.598907
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.877261
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.186007
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.554995
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.946963
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.372866
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.856032
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.408724
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.046962
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.792109
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84937
