¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.494246
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280612
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.840377
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07053
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19495
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32454
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45949
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60015
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74674
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35213
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11757
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34377
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5313
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7299
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93742
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15443
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38151
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6257
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00579
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.099775
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333018
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586128
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86172
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16283
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493101
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856932
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270775
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744286
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.277216
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832644
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12759
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25357
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38478
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5215
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66396
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04475
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86859
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28184
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46782
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66203
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8649
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07701
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29884
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53103
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8926
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28789
·(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.097626
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.330657
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.583606
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858958
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159819
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48979
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853253
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268098
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741297
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273858
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825144
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18683
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3145
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44741
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58595
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75485
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53308
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14773
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40923
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5993
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79779
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0052
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2221
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44899
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78655
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17297
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93384
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.095528
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328435
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581124
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856255
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156845
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486532
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849693
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.265446
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738305
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.270495
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817856
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24838
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37775
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51251
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65294
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21716
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82715
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35538
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5415
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73582
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93883
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15104
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37293
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68726
ş(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0653
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46773
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23336
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093493
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326185
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578725
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853646
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153998
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483397
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 7.000606
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.919962
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.894353
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.874095
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.855307
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.837978
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.822057
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.807537
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.794438
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.782705
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.772363
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.763366
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.755734
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.749451
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.744504
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.740881
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.743868
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.791662
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35834
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28774
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5267
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.091463
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324019
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576348
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851048
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151182
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.979237
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.867225
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.820322
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.797719
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.777022
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.757772
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.739926
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.723519
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.708487
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.694821
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.68253
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.671578
(435.77, 13.89, 293.10) (446.35, 8.15, 273.47) (0.81, 2.16, 0.81) Human 6.661957
